Check failed for (fp80): alpha = -6.27690212187240689041; beta = -1.5692255304681017226; diff = 5.42101086242752217004e-20; -999/1000
Check failed for (fp80): alpha = -6.27061893656522730423; beta = -1.56765473414130682606; diff = 5.42101086242752217004e-20; -998/1000
Check failed for (fp80): alpha = -6.26433575125804771762; beta = -1.5660839378145119294; diff = 5.42101086242752217004e-20; -997/1000
Check failed for (fp80): alpha = -6.25805256595086813144; beta = -1.56451314148771703286; diff = 5.42101086242752217004e-20; -996/1000
Check failed for (fp80): alpha = -6.25176938064368854482; beta = -1.56294234516092213621; diff = 5.42101086242752217004e-20; -995/1000
Check failed for (fp80): alpha = -6.2392030100293293716; beta = -1.5598007525073323429; diff = 5.42101086242752217004e-20; -993/1000
Check failed for (fp80): alpha = -6.23291982472214978498; beta = -1.55822995618053744625; diff = 5.42101086242752217004e-20; -992/1000
Check failed for (fp80): alpha = -6.22663663941497019837; beta = -1.55665915985374254959; diff = 1.08420217248550443401e-19; -991/1000
Check failed for (fp80): alpha = -6.22035345410779061219; beta = -1.55508836352694765305; diff = 5.42101086242752217004e-20; -990/1000
Check failed for (fp80): alpha = -6.2077870834934314394; beta = -1.55194677087335785985; diff = 1.08420217248550443401e-19; -988/1000
Check failed for (fp80): alpha = -6.18893752757189267999; beta = -1.54723438189297317; diff = 5.42101086242752217004e-20; -985/1000
Check failed for (fp80): alpha = -6.17008797165035392058; beta = -1.54252199291258848015; diff = 5.42101086242752217004e-20; -982/1000
Check failed for (fp80): alpha = -6.16380478634317433397; beta = -1.54095119658579358349; diff = 5.42101086242752217004e-20; -981/1000
Check failed for (fp80): alpha = -6.15752160103599474779; beta = -1.53938040025899868695; diff = 5.42101086242752217004e-20; -980/1000
Check failed for (fp80): alpha = -6.15123841572881516118; beta = -1.53780960393220379029; diff = 5.42101086242752217004e-20; -979/1000
Check failed for (fp80): alpha = -6.10725611857855805575; beta = -1.52681402964463951394; diff = 5.42101086242752217004e-20; -972/1000
Check failed for (fp80): alpha = -6.09468974796419888295; beta = -1.52367243699104972074; diff = 5.42101086242752217004e-20; -970/1000
Check failed for (fp80): alpha = -6.08840656265701929634; beta = -1.52210164066425482408; diff = 5.42101086242752217004e-20; -969/1000
Check failed for (fp80): alpha = -6.07584019204266012355; beta = -1.51896004801066503089; diff = 5.42101086242752217004e-20; -967/1000
Check failed for (fp80): alpha = -6.06955700673548053693; beta = -1.51738925168387013423; diff = 5.42101086242752217004e-20; -966/1000
Check failed for (fp80): alpha = -6.05699063612112136371; beta = -1.51424765903028034093; diff = 5.42101086242752217004e-20; -964/1000
Check failed for (fp80): alpha = -6.05070745081394177709; beta = -1.51267686270348544427; diff = 5.42101086242752217004e-20; -963/1000
Check failed for (fp80): alpha = -6.04442426550676219091; beta = -1.51110606637669054773; diff = 1.08420217248550443401e-19; -962/1000
Check failed for (fp80): alpha = -6.0381410801995826043; beta = -1.50953527004989565107; diff = 5.42101086242752217004e-20; -961/1000
Check failed for (fp80): alpha = -6.03185789489240301768; beta = -1.50796447372310075442; diff = 1.08420217248550443401e-19; -960/1000
Check failed for (fp80): alpha = -6.0255747095852234315; beta = -1.50639367739630585788; diff = 5.42101086242752217004e-20; -959/1000
Check failed for (fp80): alpha = -6.01929152427804384489; beta = -1.50482288106951096122; diff = 5.42101086242752217004e-20; -958/1000
Check failed for (fp80): alpha = -6.0067251536636846721; beta = -1.50168128841592116802; diff = 5.42101086242752217004e-20; -956/1000
Check failed for (fp80): alpha = -5.9941587830493254993; beta = -1.49853969576233137483; diff = 5.42101086242752217004e-20; -954/1000
Check failed for (fp80): alpha = -5.98159241243496632608; beta = -1.49539810310874158152; diff = 5.42101086242752217004e-20; -952/1000
Check failed for (fp80): alpha = -5.9753092271277867399; beta = -1.49382730678194668497; diff = 5.42101086242752217004e-20; -951/1000
Check failed for (fp80): alpha = -5.95645967120624798006; beta = -1.48911491780156199501; diff = 5.42101086242752217004e-20; -948/1000
Check failed for (fp80): alpha = -5.95017648589906839344; beta = -1.48754412147476709836; diff = 5.42101086242752217004e-20; -947/1000
Check failed for (fp80): alpha = -5.93761011528470922065; beta = -1.48440252882117730516; diff = 5.42101086242752217004e-20; -945/1000
Check failed for (fp80): alpha = -5.91876055936317046124; beta = -1.47969013984079261531; diff = 5.42101086242752217004e-20; -942/1000
Check failed for (fp80): alpha = -5.91247737405599087506; beta = -1.47811934351399771877; diff = 5.42101086242752217004e-20; -941/1000
Check failed for (fp80): alpha = -5.90619418874881128845; beta = -1.47654854718720282211; diff = 5.42101086242752217004e-20; -940/1000
Check failed for (fp80): alpha = -5.89991100344163170183; beta = -1.47497775086040792546; diff = 5.42101086242752217004e-20; -939/1000
Check failed for (fp80): alpha = -5.89362781813445211565; beta = -1.47340695453361302891; diff = 5.42101086242752217004e-20; -938/1000
Check failed for (fp80): alpha = -5.88734463282727252904; beta = -1.47183615820681813226; diff = 5.42101086242752217004e-20; -937/1000
Check failed for (fp80): alpha = -5.88106144752009294243; beta = -1.47026536188002323561; diff = 5.42101086242752217004e-20; -936/1000
Check failed for (fp80): alpha = -5.87477826221291335625; beta = -1.46869456555322833906; diff = 5.42101086242752217004e-20; -935/1000
Check failed for (fp80): alpha = -5.85592870629137459641; beta = -1.4639821765728436491; diff = 5.42101086242752217004e-20; -932/1000
Check failed for (fp80): alpha = -5.84964552098419500979; beta = -1.46241138024604875245; diff = 5.42101086242752217004e-20; -931/1000
Check failed for (fp80): alpha = -5.83079596506265625082; beta = -1.4576989912656640627; diff = 5.42101086242752217004e-20; -928/1000
Check failed for (fp80): alpha = -5.8245127797554766642; beta = -1.45612819493886916605; diff = 5.42101086242752217004e-20; -927/1000
Check failed for (fp80): alpha = -5.8056632238339379048; beta = -1.4514158059584844762; diff = 5.42101086242752217004e-20; -924/1000
Check failed for (fp80): alpha = -5.793096853219578732; beta = -1.448274213304894683; diff = 5.42101086242752217004e-20; -922/1000
Check failed for (fp80): alpha = -5.78681366791239914539; beta = -1.44670341697809978635; diff = 5.42101086242752217004e-20; -921/1000
Check failed for (fp80): alpha = -5.78053048260521955878; beta = -1.44513262065130488969; diff = 1.08420217248550443401e-19; -920/1000
Check failed for (fp80): alpha = -5.77424729729803997216; beta = -1.44356182432450999304; diff = 5.42101086242752217004e-20; -919/1000
Check failed for (fp80): alpha = -5.76796411199086038555; beta = -1.44199102799771509639; diff = 1.08420217248550443401e-19; -918/1000
Check failed for (fp80): alpha = -5.76168092668368079937; beta = -1.44042023167092019984; diff = 1.08420217248550443401e-19; -917/1000
Check failed for (fp80): alpha = -5.74911455606932162658; beta = -1.43727863901733040664; diff = 1.08420217248550443401e-19; -915/1000
Check failed for (fp80): alpha = -5.74283137076214203996; beta = -1.43570784269053550999; diff = 5.42101086242752217004e-20; -914/1000
Check failed for (fp80): alpha = -5.73654818545496245335; beta = -1.43413704636374061334; diff = 1.08420217248550443401e-19; -913/1000
Check failed for (fp80): alpha = -5.71769862953342369438; beta = -1.42942465738335592359; diff = 5.42101086242752217004e-20; -910/1000
Check failed for (fp80): alpha = -5.71141544422624410776; beta = -1.42785386105656102694; diff = 5.42101086242752217004e-20; -909/1000
Check failed for (fp80): alpha = -5.70513225891906452115; beta = -1.42628306472976613029; diff = 1.08420217248550443401e-19; -908/1000
Check failed for (fp80): alpha = -5.69884907361188493497; beta = -1.42471226840297123374; diff = 5.42101086242752217004e-20; -907/1000
Check failed for (fp80): alpha = -5.68628270299752576174; beta = -1.42157067574938144044; diff = 5.42101086242752217004e-20; -905/1000
Check failed for (fp80): alpha = -5.66743314707598700233; beta = -1.41685828676899675058; diff = 5.42101086242752217004e-20; -902/1000
Check failed for (fp80): alpha = -5.66114996176880741572; beta = -1.41528749044220185393; diff = 1.08420217248550443401e-19; -901/1000
Check failed for (fp80): alpha = -5.64230040584726865631; beta = -1.41057510146181716408; diff = 5.42101086242752217004e-20; -898/1000
Check failed for (fp80): alpha = -5.62973403523290948352; beta = -1.40743350880822737088; diff = 5.42101086242752217004e-20; -896/1000
Check failed for (fp80): alpha = -5.61088447931137072411; beta = -1.40272111982784268103; diff = 5.42101086242752217004e-20; -893/1000
Check failed for (fp80): alpha = -5.6046012940041911375; beta = -1.40115032350104778437; diff = 5.42101086242752217004e-20; -892/1000
Check failed for (fp80): alpha = -5.58575173808265237809; beta = -1.39643793452066309452; diff = 5.42101086242752217004e-20; -889/1000
Check failed for (fp80): alpha = -5.57946855277547279148; beta = -1.39486713819386819787; diff = 5.42101086242752217004e-20; -888/1000
Check failed for (fp80): alpha = -5.57318536746829320486; beta = -1.39329634186707330122; diff = 5.42101086242752217004e-20; -887/1000
Check failed for (fp80): alpha = -5.56061899685393403207; beta = -1.39015474921348350802; diff = 5.42101086242752217004e-20; -885/1000
Check failed for (fp80): alpha = -5.55433581154675444589; beta = -1.38858395288668861147; diff = 1.08420217248550443401e-19; -884/1000
Check failed for (fp80): alpha = -5.54176944093239527266; beta = -1.38544236023309881817; diff = 5.42101086242752217004e-20; -882/1000
Check failed for (fp80): alpha = -5.53548625562521568648; beta = -1.38387156390630392162; diff = 5.42101086242752217004e-20; -881/1000
Check failed for (fp80): alpha = -5.52291988501085651326; beta = -1.38072997125271412831; diff = 5.42101086242752217004e-20; -879/1000
Check failed for (fp80): alpha = -5.51035351439649734046; beta = -1.37758837859912433512; diff = 5.42101086242752217004e-20; -877/1000
Check failed for (fp80): alpha = -5.49778714378213816723; beta = -1.37444678594553454181; diff = 1.35525271560688054251e-19; -875/1000
Check failed for (fp80): alpha = -5.48522077316777899444; beta = -1.37130519329194474861; diff = 5.42101086242752217004e-20; -873/1000
Check failed for (fp80): alpha = -5.46637121724624023503; beta = -1.36659280431156005876; diff = 1.08420217248550443401e-19; -870/1000
Check failed for (fp80): alpha = -5.44123847601752188901; beta = -1.36030961900438047225; diff = 5.42101086242752217004e-20; -866/1000
