Check failed for (fp128): alpha = -5.365840252331366851294194898641390667e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.587980797295670658167225324602102790e+00; -854/1000
Check failed for (fp128): alpha = -5.013981875129310008586378839714086058e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.909729089493285918215324496184686292e+00; -798/1000
Check failed for (fp128): alpha = -4.913450910214436624955574251449142104e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.959710104768493731429586819000031134e+00; -782/1000
Check failed for (fp128): alpha = -4.838052686528281587232470810250434524e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.984229402628955662099586085571556893e+00; -770/1000
Check failed for (fp128): alpha = -4.806636759992383654847844376417639249e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.991123929206160025795356088429238978e+00; -765/1000
Check failed for (fp128): alpha = -4.787787204070844895417068516117961776e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.994317800521227864708508301412327984e+00; -762/1000
Check failed for (fp128): alpha = -4.511327050554943090432355898389366288e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.959710104768493731429586819000031134e+00; -718/1000
Check failed for (fp128): alpha = -4.448495197483147225663103030723775739e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.930763277666547768533981484910548829e+00; -708/1000
Check failed for (fp128): alpha = -4.360530603182633014986149015991949587e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.877467715307748170260262479608884110e+00; -694/1000
Check failed for (fp128): alpha = -4.354247417875453428509223729225390686e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.873099773496384688308770782323701349e+00; -693/1000
Check failed for (fp128): alpha = -4.071504079052372037047585824730235527e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.603133969741753137056197439645095602e+00; -648/1000
Check failed for (fp128): alpha = -2.167698930976957334539223934462856607e+00; diff1 = 1.654161148549123649835704372430659398e+00; diff2 = 1.925929944387235853055977942584927319e-34; -345/1000
Check failed for (fp128): alpha = -2.073451151369263537385344632964471939e+00; diff1 = 1.752613360087727174616231807844125263e+00; diff2 = 1.925929944387235853055977942584927319e-34; -330/1000
Check failed for (fp128): alpha = -2.035752039526186018523792912365117763e+00; diff1 = 1.787682848302527556651207892826474496e+00; diff2 = 1.925929944387235853055977942584927319e-34; -324/1000
Check failed for (fp128): alpha = -1.784424627239002559446781441702757493e+00; diff1 = 1.954536247136386919132654594735526366e+00; diff2 = 1.925929944387235853055977942584927319e-34; -284/1000
Check failed for (fp128): alpha = -1.696460032938488348769827426970931534e+00; diff1 = 1.984229402628955662099586085571556893e+00; diff2 = 1.925929944387235853055977942584927319e-34; -270/1000
Check failed for (fp128): alpha = -1.445132620651304889692815956308571264e+00; diff1 = 1.984229402628955662099586085571556893e+00; diff2 = 1.925929944387235853055977942584927319e-34; -230/1000
Check failed for (fp128): alpha = -1.357168026350790679015861941576745304e+00; diff1 = 1.954536247136386919132654594735526366e+00; diff2 = 1.925929944387235853055977942584927319e-34; -216/1000
Check failed for (fp128): alpha = -9.047786842338604526772412943844968373e-01; diff1 = 1.572576864273237795678504433390440605e+00; diff2 = 1.925929944387235853055977942584927319e-34; -144/1000
Check failed for (fp128): alpha = 9.047786842338604526772412943844968373e-01; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.572576864273237795678504433390440605e+00; 144/1000
Check failed for (fp128): alpha = 1.357168026350790679015861941576745304e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.954536247136386919132654594735526366e+00; 216/1000
Check failed for (fp128): alpha = 1.445132620651304889692815956308571264e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.984229402628955662099586085571556893e+00; 230/1000
Check failed for (fp128): alpha = 1.696460032938488348769827426970931534e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.984229402628955662099586085571556893e+00; 270/1000
Check failed for (fp128): alpha = 1.784424627239002559446781441702757493e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.954536247136386919132654594735526366e+00; 284/1000
Check failed for (fp128): alpha = 2.035752039526186018523792912365117763e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.787682848302527556651207892826474496e+00; 324/1000
Check failed for (fp128): alpha = 2.073451151369263537385344632964471939e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.752613360087727174616231807844125263e+00; 330/1000
Check failed for (fp128): alpha = 2.167698930976957334539223934462856607e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.654161148549123649835704372430659398e+00; 345/1000
Check failed for (fp128): alpha = 4.071504079052372037047585824730235527e+00; diff1 = 1.603133969741753137056197439645095602e+00; diff2 = 1.925929944387235853055977942584927319e-34; 648/1000
Check failed for (fp128): alpha = 4.354247417875453428509223729225390686e+00; diff1 = 1.873099773496384688308770782323701349e+00; diff2 = 1.925929944387235853055977942584927319e-34; 693/1000
Check failed for (fp128): alpha = 4.360530603182633014986149015991949587e+00; diff1 = 1.877467715307748170260262479608884110e+00; diff2 = 1.925929944387235853055977942584927319e-34; 694/1000
Check failed for (fp128): alpha = 4.448495197483147225663103030723775739e+00; diff1 = 1.930763277666547768533981484910548829e+00; diff2 = 1.925929944387235853055977942584927319e-34; 708/1000
Check failed for (fp128): alpha = 4.511327050554943090432355898389366288e+00; diff1 = 1.959710104768493731429586819000031134e+00; diff2 = 1.925929944387235853055977942584927319e-34; 718/1000
Check failed for (fp128): alpha = 4.787787204070844895417068516117961776e+00; diff1 = 1.994317800521227864708508301412327984e+00; diff2 = 1.925929944387235853055977942584927319e-34; 762/1000
Check failed for (fp128): alpha = 4.806636759992383654847844376417639249e+00; diff1 = 1.991123929206160025795356088429238978e+00; diff2 = 1.925929944387235853055977942584927319e-34; 765/1000
Check failed for (fp128): alpha = 4.838052686528281587232470810250434524e+00; diff1 = 1.984229402628955662099586085571556893e+00; diff2 = 1.925929944387235853055977942584927319e-34; 770/1000
Check failed for (fp128): alpha = 4.913450910214436624955574251449142104e+00; diff1 = 1.959710104768493731429586819000031134e+00; diff2 = 1.925929944387235853055977942584927319e-34; 782/1000
Check failed for (fp128): alpha = 5.013981875129310008586378839714086058e+00; diff1 = 1.909729089493285918215324496184686292e+00; diff2 = 1.925929944387235853055977942584927319e-34; 798/1000
Check failed for (fp128): alpha = 5.365840252331366851294194898641390667e+00; diff1 = 1.587980797295670658167225324602102790e+00; diff2 = 1.925929944387235853055977942584927319e-34; 854/1000
Epsilon (fp128): 1.925929944387235853055977942584927319e-34
Failed: 38; OK: 1963
