Check failed for (fp80): alpha = -6.28318530717958647703; diff1 = 1.08420217248550443401e-19; diff2 = 1.08420217248550443401e-19; -1000/1000
Check failed for (fp80): alpha = -6.27690212187240689041; diff1 = 1.29511337635182521844e-18; diff2 = 0.0125665359837795430196; -999/1000
Check failed for (fp80): alpha = -6.27061893656522730423; diff1 = 2.52246411692330640975e-18; diff2 = 0.0251340642467591574675; -998/1000
Check failed for (fp80): alpha = -6.26433575125804771762; diff1 = 1.05709711817336682316e-18; diff2 = 0.037703577381573171335; -997/1000
Check failed for (fp80): alpha = -6.25805256595086813144; diff1 = 7.28448334638698291599e-19; diff2 = 0.0502760686079348886933; -996/1000
Check failed for (fp80): alpha = -6.25176938064368854482; diff1 = 1.21972744404619248826e-19; diff2 = 0.0628525320867022949326; -995/1000
Check failed for (fp80): alpha = -6.24548619533650895821; diff1 = 5.4548921803176941836e-19; diff2 = 0.0754339632345760284775; -994/1000
Check failed for (fp80): alpha = -6.2392030100293293716; diff1 = 4.98055372985528599372e-19; diff2 = 0.0880213590396413768634; -993/1000
Check failed for (fp80): alpha = -6.23291982472214978498; diff1 = 4.43845264361253377672e-19; diff2 = 0.100615718377967210438; -992/1000
Check failed for (fp80): alpha = -6.22663663941497019837; diff1 = 5.59041745187838223785e-19; diff2 = 0.113218042331475859393; -991/1000
Check failed for (fp80): alpha = -6.22035345410779061219; diff1 = 1.69406589450860067814e-19; diff2 = 0.125829334507299514528; -990/1000
Check failed for (fp80): alpha = -6.21407026880061102558; diff1 = 2.43945488809238497652e-19; diff2 = 0.138450601358840374235; -989/1000
Check failed for (fp80): alpha = -6.2077870834934314394; diff1 = 4.33680868994201773603e-19; diff2 = 0.151082852508753768387; -988/1000
Check failed for (fp80): alpha = -6.19522071287907226617; diff1 = 1.49077798716756859676e-19; diff2 = 0.176384363993719006967; -986/1000
Check failed for (fp80): alpha = -6.18893752757189267999; diff1 = 2.16840434497100886801e-19; diff2 = 0.18905566235856409736; -985/1000
Check failed for (fp80): alpha = -6.18265434226471309338; diff1 = 1.62630325872825665101e-19; diff2 = 0.201742021744375302756; -984/1000
