Check failed for (fp64): alpha = -6.28318530717959; diff1 = 134843797118.5; diff2 = 8.1657545203948e+15; -1000/1000
Check failed for (fp64): alpha = -6.25805256595087; diff1 = 7.105427357601e-15; diff2 = 79.5607156795196; -996/1000
Check failed for (fp64): alpha = -6.21407026880061; diff1 = 1.77635683940025e-15; diff2 = 28.8911710078648; -989/1000
Check failed for (fp64): alpha = -6.14495523042164; diff1 = 8.88178419700125e-16; diff2 = 14.376360203253; -978/1000
Check failed for (fp64): alpha = -6.1261056745001; diff1 = 8.88178419700125e-16; diff2 = 12.6275030293501; -975/1000
Check failed for (fp64): alpha = -6.11982248919292; diff1 = 8.88178419700125e-16; diff2 = 12.1335851252147; -974/1000
Check failed for (fp64): alpha = -6.10097293327138; diff1 = 8.88178419700125e-16; diff2 = 10.8544583274839; -971/1000
Check failed for (fp64): alpha = -6.08840656265702; diff1 = 8.88178419700125e-16; diff2 = 10.137878727577; -969/1000
Check failed for (fp64): alpha = -6.05699063612112; diff1 = 8.88178419700125e-16; diff2 = 8.69062795935784; -964/1000
Check failed for (fp64): alpha = -6.04442426550676; diff1 = 8.88178419700125e-16; diff2 = 8.2167936874354; -962/1000
Check failed for (fp64): alpha = -6.03814108019958; diff1 = 4.44089209850063e-16; diff2 = 7.99777141344894; -961/1000
Check failed for (fp64): alpha = -6.0318578948924; diff1 = 4.44089209850063e-16; diff2 = 7.7894857098597; -960/1000
Check failed for (fp64): alpha = -6.02557470958522; diff1 = 4.44089209850063e-16; diff2 = 7.59115071143755; -959/1000
Check failed for (fp64): alpha = -6.00672515366368; diff1 = 4.44089209850063e-16; diff2 = 7.04906283051449; -956/1000
Check failed for (fp64): alpha = -5.98787559774215; diff1 = 4.44089209850063e-16; diff2 = 6.5745234483063; -953/1000
Check failed for (fp64): alpha = -5.97530922712779; diff1 = 4.44089209850063e-16; diff2 = 6.28956056944831; -951/1000
Check failed for (fp64): alpha = -5.95645967120625; diff1 = 4.44089209850063e-16; diff2 = 5.90196081837345; -948/1000
Check failed for (fp64): alpha = -5.94389330059189; diff1 = 4.44089209850063e-16; diff2 = 5.66667764205016; -946/1000
Check failed for (fp64): alpha = -5.93761011528471; diff1 = 4.44089209850063e-16; diff2 = 5.55521370782993; -945/1000
Check failed for (fp64): alpha = -5.92504374467035; diff1 = 4.44089209850063e-16; diff2 = 5.34355601036264; -943/1000
Check failed for (fp64): alpha = -5.91247737405599; diff1 = 4.44089209850063e-16; diff2 = 5.14564995647834; -941/1000
Check failed for (fp64): alpha = -5.88734463282727; diff1 = 4.44089209850063e-16; diff2 = 4.78584566968396; -937/1000
Check failed for (fp64): alpha = -5.88106144752009; diff1 = 4.44089209850063e-16; diff2 = 4.70257416551561; -936/1000
Check failed for (fp64): alpha = -5.86849507690573; diff1 = 4.44089209850063e-16; diff2 = 4.54319460546597; -934/1000
Check failed for (fp64): alpha = -5.8496455209842; diff1 = 4.44089209850063e-16; diff2 = 4.32047252817653; -931/1000
Check failed for (fp64): alpha = -5.83707915036984; diff1 = 4.44089209850063e-16; diff2 = 4.18181165103102; -929/1000
Check failed for (fp64): alpha = -5.83079596506266; diff1 = 4.44089209850063e-16; diff2 = 4.11518101237748; -928/1000
Check failed for (fp64): alpha = -5.81194640914112; diff1 = 4.44089209850063e-16; diff2 = 3.9252210110103; -925/1000
Check failed for (fp64): alpha = -5.79938003852676; diff1 = 2.22044604925031e-16; diff2 = 3.80620986622778; -923/1000
Check failed for (fp64): alpha = -5.79309685321958; diff1 = 2.22044604925031e-16; diff2 = 3.74881604398857; -922/1000
Check failed for (fp64): alpha = -5.7868136679124; diff1 = 2.22044604925031e-16; diff2 = 3.69275838611078; -921/1000
Check failed for (fp64): alpha = -5.77424729729804; diff1 = 2.22044604925031e-16; diff2 = 3.58445245554308; -919/1000
Check failed for (fp64): alpha = -5.76796411199086; diff1 = 2.22044604925031e-16; diff2 = 3.53211068797261; -918/1000
Check failed for (fp64): alpha = -5.76168092668368; diff1 = 2.22044604925031e-16; diff2 = 3.48091780292637; -917/1000
