Check failed for (fp80): alpha = -6.28318530717958647703; diff1 = inf; diff2 = inf; -1000/1000
Check failed for (fp80): alpha = -6.27690212187240689041; diff1 = 3.28070903776733757695e-14; diff2 = 318.305697382561421149; -999/1000
Check failed for (fp80): alpha = -6.27061893656522730423; diff1 = 1.59733337667944397253e-14; diff2 = 159.146565423288792546; -998/1000
Check failed for (fp80): alpha = -6.26433575125804771762; diff1 = 2.97678548477620097401e-15; diff2 = 106.090728726312206152; -997/1000
Check failed for (fp80): alpha = -6.25805256595086813144; diff1 = 1.15532583500055352488e-15; diff2 = 79.5607156795210231776; -996/1000
Check failed for (fp80): alpha = -6.25176938064368854482; diff1 = 1.24900090270330110798e-16; diff2 = 63.6410319075479167933; -995/1000
Check failed for (fp80): alpha = -6.24548619533650895821; diff1 = 3.83373888190874367865e-16; diff2 = 53.0265125744653144646; -994/1000
Check failed for (fp80): alpha = -6.2392030100293293716; diff1 = 2.56739074444567449973e-16; diff2 = 45.4435155698806749099; -993/1000
Check failed for (fp80): alpha = -6.23291982472214978498; diff1 = 1.75207071073657516536e-16; diff2 = 39.755219805456543776; -992/1000
Check failed for (fp80): alpha = -6.22663663941497019837; diff1 = 1.75207071073657516536e-16; diff2 = 35.3300579804139226192; -991/1000
Check failed for (fp80): alpha = -6.22035345410779061219; diff1 = 4.33680868994201773603e-17; diff2 = 31.7890896877306068698; -990/1000
Check failed for (fp80): alpha = -6.21407026880061102558; diff1 = 5.11743425413158092852e-17; diff2 = 28.8911710078649740449; -989/1000
Check failed for (fp80): alpha = -6.2077870834934314394; diff1 = 7.54604712049911086069e-17; diff2 = 26.4755393056153692961; -988/1000
Check failed for (fp80): alpha = -6.20150389818625185278; diff1 = 5.20417042793042128324e-18; diff2 = 24.4308973515036053047; -987/1000
Check failed for (fp80): alpha = -6.19522071287907226617; diff1 = 1.90819582357448780385e-17; diff2 = 22.677747105420516591; -986/1000
Check failed for (fp80): alpha = -6.18893752757189267999; diff1 = 2.42861286636752993218e-17; diff2 = 21.1577899868112711233; -985/1000
Check failed for (fp80): alpha = -6.18265434226471309338; diff1 = 1.56125112837912638497e-17; diff2 = 19.8273020435392884186; -984/1000
Check failed for (fp80): alpha = -6.1763711569575335072; diff1 = 1.21430643318376496609e-17; diff2 = 18.652847296443453351; -983/1000
Check failed for (fp80): alpha = -6.17008797165035392058; diff1 = 2.60208521396521064162e-18; diff2 = 17.6084199690412235816; -982/1000
Check failed for (fp80): alpha = -6.16380478634317433397; diff1 = 1.82145964977564744913e-17; diff2 = 16.6734891710080893427; -981/1000
Check failed for (fp80): alpha = -6.15752160103599474779; diff1 = 6.50521303491302660404e-18; diff2 = 15.8316301766116537472; -980/1000
Check failed for (fp80): alpha = -6.15123841572881516118; diff1 = 9.97465998686664079287e-18; diff2 = 15.0695467664487890436; -979/1000
Check failed for (fp80): alpha = -6.14495523042163557456; diff1 = 9.97465998686664079287e-18; diff2 = 14.3763602032530668547; -978/1000
Check failed for (fp80): alpha = -6.13867204511445598795; diff1 = 2.60208521396521064162e-18; diff2 = 13.7430836922728066996; -977/1000
Check failed for (fp80): alpha = -6.13238885980727640133; diff1 = 4.33680868994201773603e-19; diff2 = 13.1622282265533077552; -976/1000
Check failed for (fp80): alpha = -6.12610567450009681515; diff1 = 4.33680868994201773603e-18; diff2 = 12.6275030293500862147; -975/1000
Check failed for (fp80): alpha = -6.11353930388573764193; diff1 = 4.77048955893621950963e-18; diff2 = 11.6759401175051433213; -973/1000
Check failed for (fp80): alpha = -6.10725611857855805575; diff1 = 1.30104260698260532081e-18; diff2 = 11.250681370713398825; -972/1000
Check failed for (fp80): alpha = -6.10097293327137846913; diff1 = 4.33680868994201773603e-18; diff2 = 10.8544583274838950153; -971/1000
Check failed for (fp80): alpha = -6.09468974796419888295; diff1 = 3.03576608295941241522e-18; diff2 = 10.4843671622263534919; -970/1000
Check failed for (fp80): alpha = -6.08840656265701929634; diff1 = 8.67361737988403547206e-19; diff2 = 10.1378787275770399102; -969/1000
Check failed for (fp80): alpha = -6.08212337734983970973; diff1 = 1.30104260698260532081e-18; diff2 = 9.81278001089745656287; -968/1000
Check failed for (fp80): alpha = -6.07584019204266012355; diff1 = 4.33680868994201773603e-19; diff2 = 9.5071262350450028121; -967/1000
Check failed for (fp80): alpha = -6.06955700673548053693; diff1 = 2.16840434497100886801e-18; diff2 = 9.21920141194783934226; -966/1000
Check failed for (fp80): alpha = -6.06327382142830095032; diff1 = 8.67361737988403547206e-19; diff2 = 8.94748565842310925305; -965/1000
Check failed for (fp80): alpha = -6.05699063612112136371; diff1 = 1.73472347597680709441e-18; diff2 = 8.6906279593578566493; -964/1000
Check failed for (fp80): alpha = -6.05070745081394177709; diff1 = 3.03576608295941241522e-18; diff2 = 8.44742334767050460226; -963/1000
Check failed for (fp80): alpha = -6.04442426550676219091; diff1 = 2.16840434497100886801e-18; diff2 = 8.21679368743541452616; -962/1000
Check failed for (fp80): alpha = -6.0381410801995826043; diff1 = 1.08420217248550443401e-18; diff2 = 7.9977714134489416636; -961/1000
Check failed for (fp80): alpha = -6.03185789489240301768; diff1 = 2.38524477946810975482e-18; diff2 = 7.78948570985971866683; -960/1000
Check failed for (fp80): alpha = -6.0255747095852234315; diff1 = 1.30104260698260532081e-18; diff2 = 7.59115071143756036439; -959/1000
Check failed for (fp80): alpha = -6.01929152427804384489; diff1 = 2.16840434497100886801e-19; diff2 = 7.40205539037454652955; -958/1000
Check failed for (fp80): alpha = -6.01300833897086425871; diff1 = 6.50521303491302660404e-19; diff2 = 7.22155485422931678156; -957/1000
Check failed for (fp80): alpha = -6.0067251536636846721; diff1 = 1.30104260698260532081e-18; diff2 = 7.04906283051451424499; -956/1000
Check failed for (fp80): alpha = -6.00044196835650508548; diff1 = 4.33680868994201773603e-19; diff2 = 6.88404515333843725674; -955/1000
Check failed for (fp80): alpha = -5.9941587830493254993; diff1 = 6.50521303491302660404e-19; diff2 = 6.72601409961438217403; -954/1000
Check failed for (fp80): alpha = -5.98787559774214591269; diff1 = 1.08420217248550443401e-18; diff2 = 6.5745234483063122741; -953/1000
Check failed for (fp80): alpha = -5.98159241243496632608; diff1 = 6.50521303491302660404e-19; diff2 = 6.42916415726804843771; -952/1000
Check failed for (fp80): alpha = -5.9753092271277867399; diff1 = 6.50521303491302660404e-19; diff2 = 6.28956056944832849961; -951/1000
Check failed for (fp80): alpha = -5.96902604182060715328; diff1 = 6.50521303491302660404e-19; diff2 = 6.15536707435050680845; -950/1000
Check failed for (fp80): alpha = -5.95645967120624798006; diff1 = 8.67361737988403547206e-19; diff2 = 5.90196081837345383828; -948/1000
Check failed for (fp80): alpha = -5.95017648589906839344; diff1 = 6.50521303491302660404e-19; diff2 = 5.7821822119176255984; -947/1000
Check failed for (fp80): alpha = -5.94389330059188880726; diff1 = 6.50521303491302660404e-19; diff2 = 5.66667764205016825756; -946/1000
Check failed for (fp80): alpha = -5.93761011528470922065; diff1 = 4.33680868994201773603e-19; diff2 = 5.55521370782994977676; -945/1000
Check failed for (fp80): alpha = -5.93132692997752963447; diff1 = 2.16840434497100886801e-19; diff2 = 5.44757367426649188186; -944/1000
Check failed for (fp80): alpha = -5.92504374467035004785; diff1 = 2.16840434497100886801e-19; diff2 = 5.34355601036264139716; -943/1000
Check failed for (fp80): alpha = -5.91876055936317046124; diff1 = 2.16840434497100886801e-19; diff2 = 5.24297307839350362497; -942/1000
Check failed for (fp80): alpha = -5.91247737405599087506; diff1 = 2.16840434497100886801e-19; diff2 = 5.14564995647834482959; -941/1000
Check failed for (fp80): alpha = -5.90619418874881128845; diff1 = 2.16840434497100886801e-19; diff2 = 5.05142337889460999161; -940/1000
Check failed for (fp80): alpha = -5.89991100344163170183; diff1 = 4.33680868994201773603e-19; diff2 = 4.96014078062265804806; -939/1000
Check failed for (fp80): alpha = -5.88106144752009294243; diff1 = 6.50521303491302660404e-19; diff2 = 4.70257416551560782341; -936/1000
Check failed for (fp80): alpha = -5.86849507690573376963; diff1 = 4.33680868994201773603e-19; diff2 = 4.54319460546597322318; -934/1000
Check failed for (fp80): alpha = -5.86221189159855418302; diff1 = 2.16840434497100886801e-19; diff2 = 4.46687215916174709066; -933/1000
Check failed for (fp80): alpha = -5.85592870629137459641; diff1 = 2.16840434497100886801e-19; diff2 = 4.39266217619974060071; -932/1000
Check failed for (fp80): alpha = -5.84964552098419500979; diff1 = 2.16840434497100886801e-19; diff2 = 4.32047252817652560793; -931/1000
Check failed for (fp80): alpha = -5.84336233567701542361; diff1 = 2.16840434497100886801e-19; diff2 = 4.25021634631440552339; -930/1000
Check failed for (fp80): alpha = -5.837079150369835837; diff1 = 2.16840434497100886801e-19; diff2 = 4.18181165103101864372; -929/1000
Check failed for (fp80): alpha = -5.8245127797554766642; diff1 = 2.16840434497100886801e-19; diff2 = 4.05025123838502004291; -927/1000
Check failed for (fp80): alpha = -5.81822959444829707759; diff1 = 1.08420217248550443401e-19; diff2 = 3.98695308868022653881; -926/1000
Check failed for (fp80): alpha = -5.81194640914111749141; diff1 = 1.08420217248550443401e-19; diff2 = 3.92522101101030116733; -925/1000
Check failed for (fp80): alpha = -5.8056632238339379048; diff1 = 1.08420217248550443401e-19; diff2 = 3.86499289856836395016; -924/1000
Check failed for (fp80): alpha = -5.78681366791239914539; diff1 = 1.08420217248550443401e-19; diff2 = 3.69275838611077309847; -921/1000
Check failed for (fp80): alpha = -5.78053048260521955878; diff1 = 1.08420217248550443401e-19; diff2 = 3.63798649456213255135; -920/1000
Check failed for (fp80): alpha = -5.77424729729803997216; diff1 = 1.08420217248550443401e-19; diff2 = 3.58445245554307682185; -919/1000
Check failed for (fp80): alpha = -5.76796411199086038555; diff1 = 3.25260651745651330202e-19; diff2 = 3.53211068797261002828; -918/1000
Check failed for (fp80): alpha = -5.76168092668368079937; diff1 = 2.16840434497100886801e-19; diff2 = 3.48091780292636491828; -917/1000
Check failed for (fp80): alpha = -5.75539774137650121276; diff1 = 2.16840434497100886801e-19; diff2 = 3.43083247311412429257; -916/1000
Check failed for (fp80): alpha = -5.74911455606932162658; diff1 = 3.25260651745651330202e-19; diff2 = 3.38181531157002249503; -915/1000
Check failed for (fp80): alpha = -5.73654818545496245335; diff1 = 1.08420217248550443401e-19; diff2 = 3.28683697774442365718; -913/1000
Check failed for (fp80): alpha = -5.73026500014778286717; diff1 = 2.16840434497100886801e-19; diff2 = 3.24080575582033887931; -912/1000
Check failed for (fp80): alpha = -5.71769862953342369438; diff1 = 2.16840434497100886801e-19; diff2 = 3.15149571993730217667; -910/1000
Check failed for (fp80): alpha = -5.71141544422624410776; diff1 = 2.16840434497100886801e-19; diff2 = 3.10815581163311670785; -909/1000
Check failed for (fp80): alpha = -5.70513225891906452115; diff1 = 2.16840434497100886801e-19; diff2 = 3.06565411976878028264; -908/1000
Check failed for (fp80): alpha = -5.69884907361188493497; diff1 = 1.08420217248550443401e-19; diff2 = 3.02396329972703755209; -907/1000
Check failed for (fp80): alpha = -5.69256588830470534835; diff1 = 2.16840434497100886801e-19; diff2 = 2.98305716610032456253; -906/1000
Check failed for (fp80): alpha = -5.68628270299752576174; diff1 = 2.16840434497100886801e-19; diff2 = 2.94291063163993808663; -905/1000
Check failed for (fp80): alpha = -5.67371633238316658851; diff1 = 2.16840434497100886801e-19; diff2 = 2.86480116214218411366; -903/1000
Check failed for (fp80): alpha = -5.64230040584726865631; diff1 = 1.08420217248550443401e-19; diff2 = 2.68125206373724189529; -898/1000
Check failed for (fp80): alpha = -5.62973403523290948352; diff1 = 1.08420217248550443401e-19; diff2 = 2.61210997924863248375; -896/1000
Check failed for (fp80): alpha = -5.61088447931137072411; diff1 = 1.08420217248550443401e-19; diff2 = 2.51254387156853359678; -893/1000
Check failed for (fp80): alpha = -5.59831810869701155088; diff1 = 2.16840434497100886801e-19; diff2 = 2.44874989947787661268; -891/1000
