Check failed for (fp32): x = -6.050708; diff = 5.960464e-08; -963/1000
Check failed for (fp32): x = -6.025575; diff = 5.960464e-08; -959/1000
Check failed for (fp32): x = -6.019292; diff = 5.960464e-08; -958/1000
Check failed for (fp32): x = -5.987876; diff = 5.960464e-08; -953/1000
Check failed for (fp32): x = -5.981593; diff = 5.960464e-08; -952/1000
Check failed for (fp32): x = -5.969026; diff = 5.960464e-08; -950/1000
Check failed for (fp32): x = -5.962743; diff = 5.960464e-08; -949/1000
Check failed for (fp32): x = -5.950177; diff = 5.960464e-08; -947/1000
Check failed for (fp32): x = -5.93761; diff = 5.960464e-08; -945/1000
Check failed for (fp32): x = -5.931327; diff = 1.192093e-07; -944/1000
Check failed for (fp32): x = -5.899911; diff = 5.960464e-08; -939/1000
Check failed for (fp32): x = -5.893628; diff = 5.960464e-08; -938/1000
Check failed for (fp32): x = -5.887345; diff = 1.192093e-07; -937/1000
Check failed for (fp32): x = -5.881062; diff = 1.192093e-07; -936/1000
Check failed for (fp32): x = -5.868495; diff = 1.192093e-07; -934/1000
Check failed for (fp32): x = -5.849646; diff = 1.192093e-07; -931/1000
Check failed for (fp32): x = -5.830796; diff = 1.192093e-07; -928/1000
Check failed for (fp32): x = -5.824513; diff = 1.192093e-07; -927/1000
Check failed for (fp32): x = -5.81823; diff = 1.192093e-07; -926/1000
Check failed for (fp32): x = -5.811947; diff = 1.192093e-07; -925/1000
Check failed for (fp32): x = -5.805664; diff = 1.192093e-07; -924/1000
Check failed for (fp32): x = -5.793097; diff = 1.192093e-07; -922/1000
Check failed for (fp32): x = -5.786814; diff = 1.192093e-07; -921/1000
Check failed for (fp32): x = -5.767964; diff = 1.192093e-07; -918/1000
Check failed for (fp32): x = -5.761681; diff = 1.192093e-07; -917/1000
Check failed for (fp32): x = -5.755398; diff = 1.192093e-07; -916/1000
Check failed for (fp32): x = -5.749115; diff = 1.192093e-07; -915/1000
Check failed for (fp32): x = -5.736548; diff = 1.192093e-07; -913/1000
Check failed for (fp32): x = -5.730265; diff = 1.192093e-07; -912/1000
Check failed for (fp32): x = -5.717699; diff = 2.384186e-07; -910/1000
Check failed for (fp32): x = -5.692566; diff = 2.384186e-07; -906/1000
Check failed for (fp32): x = -5.673717; diff = 2.384186e-07; -903/1000
Check failed for (fp32): x = -5.66115; diff = 4.768372e-07; -901/1000
Check failed for (fp32): x = -5.654867; diff = 2.384186e-07; -900/1000
Check failed for (fp32): x = -5.648584; diff = 4.768372e-07; -899/1000
Check failed for (fp32): x = -5.642301; diff = 2.384186e-07; -898/1000
Check failed for (fp32): x = -5.636017; diff = 4.768372e-07; -897/1000
Check failed for (fp32): x = -5.629735; diff = 2.384186e-07; -896/1000
Check failed for (fp32): x = -5.610885; diff = 4.768372e-07; -893/1000
Check failed for (fp32): x = -5.604601; diff = 9.536743e-07; -892/1000
Check failed for (fp32): x = -5.598318; diff = 1.430511e-06; -891/1000
Check failed for (fp32): x = -5.592035; diff = 4.768372e-07; -890/1000
Check failed for (fp32): x = -5.579469; diff = 4.768372e-07; -888/1000
Check failed for (fp32): x = -5.566902; diff = 4.768372e-07; -886/1000
Check failed for (fp32): x = -5.560619; diff = 9.536743e-07; -885/1000
Check failed for (fp32): x = -5.548053; diff = 9.536743e-07; -883/1000
Check failed for (fp32): x = -5.535486; diff = 7.629395e-06; -881/1000
Check failed for (fp32): x = -5.529203; diff = 8.583069e-06; -880/1000
Check failed for (fp32): x = -5.52292; diff = 9.536743e-06; -879/1000
Check failed for (fp32): x = -5.516637; diff = 1.907349e-06; -878/1000
Check failed for (fp32): x = -5.510354; diff = 7.629395e-06; -877/1000
Check failed for (fp32): x = -5.50407; diff = 0.0002746582; -876/1000
Check failed for (fp32): x = -5.497787; diff = 48026.25; -875/1000
Check failed for (fp32): x = -5.491504; diff = 0.0001754761; -874/1000
Check failed for (fp32): x = -5.485221; diff = 3.051758e-05; -873/1000
Check failed for (fp32): x = -5.478938; diff = 1.335144e-05; -872/1000
Check failed for (fp32): x = -5.472654; diff = 1.525879e-05; -871/1000
Check failed for (fp32): x = -5.466372; diff = 1.144409e-05; -870/1000
Check failed for (fp32): x = -5.460088; diff = 3.814697e-06; -869/1000
Check failed for (fp32): x = -5.453805; diff = 2.861023e-06; -868/1000
Check failed for (fp32): x = -5.447522; diff = 3.814697e-06; -867/1000
Check failed for (fp32): x = -5.441238; diff = 2.861023e-06; -866/1000
Check failed for (fp32): x = -5.434956; diff = 1.430511e-06; -865/1000
Check failed for (fp32): x = -5.428672; diff = 1.430511e-06; -864/1000
Check failed for (fp32): x = -5.422389; diff = 1.430511e-06; -863/1000
Check failed for (fp32): x = -5.416106; diff = 9.536743e-07; -862/1000
Check failed for (fp32): x = -5.409823; diff = 9.536743e-07; -861/1000
Check failed for (fp32): x = -5.40354; diff = 4.768372e-07; -860/1000
Check failed for (fp32): x = -5.397256; diff = 9.536743e-07; -859/1000
Check failed for (fp32): x = -5.390973; diff = 9.536743e-07; -858/1000
Check failed for (fp32): x = -5.38469; diff = 4.768372e-07; -857/1000
Check failed for (fp32): x = -5.372124; diff = 2.384186e-07; -855/1000
Check failed for (fp32): x = -5.36584; diff = 4.768372e-07; -854/1000
Check failed for (fp32): x = -5.359557; diff = 4.768372e-07; -853/1000
Check failed for (fp32): x = -5.353274; diff = 4.768372e-07; -852/1000
Check failed for (fp32): x = -5.346991; diff = 2.384186e-07; -851/1000
Check failed for (fp32): x = -5.328141; diff = 4.768372e-07; -848/1000
Check failed for (fp32): x = -5.315575; diff = 2.384186e-07; -846/1000
Check failed for (fp32): x = -5.309292; diff = 2.384186e-07; -845/1000
Check failed for (fp32): x = -5.303009; diff = 2.384186e-07; -844/1000
Check failed for (fp32): x = -5.296725; diff = 2.384186e-07; -843/1000
Check failed for (fp32): x = -5.284159; diff = 2.384186e-07; -841/1000
Check failed for (fp32): x = -5.271593; diff = 2.384186e-07; -839/1000
Check failed for (fp32): x = -5.252743; diff = 1.192093e-07; -836/1000
Check failed for (fp32): x = -5.24646; diff = 1.192093e-07; -835/1000
Check failed for (fp32): x = -5.221327; diff = 1.192093e-07; -831/1000
Check failed for (fp32): x = -5.215044; diff = 1.192093e-07; -830/1000
Check failed for (fp32): x = -5.189911; diff = 1.192093e-07; -826/1000
Check failed for (fp32): x = -5.183628; diff = 1.192093e-07; -825/1000
Check failed for (fp32): x = -5.177345; diff = 1.192093e-07; -824/1000
Check failed for (fp32): x = -5.171062; diff = 1.192093e-07; -823/1000
Check failed for (fp32): x = -5.164779; diff = 1.192093e-07; -822/1000
Check failed for (fp32): x = -5.158495; diff = 1.192093e-07; -821/1000
Check failed for (fp32): x = -5.152212; diff = 1.192093e-07; -820/1000
Check failed for (fp32): x = -5.145929; diff = 1.192093e-07; -819/1000
Check failed for (fp32): x = -5.139646; diff = 1.192093e-07; -818/1000
Check failed for (fp32): x = -5.133362; diff = 1.192093e-07; -817/1000
Check failed for (fp32): x = -5.120796; diff = 1.192093e-07; -815/1000
Check failed for (fp32): x = -5.101946; diff = 5.960464e-08; -812/1000
Check failed for (fp32): x = -5.095664; diff = 5.960464e-08; -811/1000
Check failed for (fp32): x = -5.08938; diff = 5.960464e-08; -810/1000
Check failed for (fp32): x = -5.083097; diff = 5.960464e-08; -809/1000
Check failed for (fp32): x = -5.07053; diff = 5.960464e-08; -807/1000
Check failed for (fp32): x = -5.051681; diff = 5.960464e-08; -804/1000
Check failed for (fp32): x = -5.026548; diff = 5.960464e-08; -800/1000
Check failed for (fp32): x = -5.020266; diff = 5.960464e-08; -799/1000
Check failed for (fp32): x = -5.001416; diff = 5.960464e-08; -796/1000
Check failed for (fp32): x = -4.479911; diff = 5.960464e-08; -713/1000
Check failed for (fp32): x = -4.467345; diff = 5.960464e-08; -711/1000
Check failed for (fp32): x = -4.461061; diff = 5.960464e-08; -710/1000
Check failed for (fp32): x = -4.429646; diff = 5.960464e-08; -705/1000
Check failed for (fp32): x = -4.404513; diff = 5.960464e-08; -701/1000
