Check failed for (fp128): x = -6.283185307179586476925286766559005595e+00; diff = 5.192296858534827628530496329220096000e+33; -1000/1000
Check failed for (fp128): x = -6.270618936565227303971436193025887793e+00; diff = 7.888609052210118054117285652827862297e-31; -998/1000
Check failed for (fp128): x = -6.264335751258047717494510906259328122e+00; diff = 1.183291357831517708117592847924179345e-30; -997/1000
Check failed for (fp128): x = -6.258052565950868131017585619492769221e+00; diff = 1.972152263052529513529321413206965574e-31; -996/1000
Check failed for (fp128): x = -6.251769380643688544540660332726210320e+00; diff = 9.860761315262647567646607066034827871e-32; -995/1000
Check failed for (fp128): x = -6.245486195336508958063735045959651420e+00; diff = 9.860761315262647567646607066034827871e-32; -994/1000
Check failed for (fp128): x = -6.239203010029329371586809759193092519e+00; diff = 9.860761315262647567646607066034827871e-32; -993/1000
Check failed for (fp128): x = -6.226636639414970198632959185659974717e+00; diff = 4.930380657631323783823303533017413935e-32; -991/1000
Check failed for (fp128): x = -6.220353454107790612156033898893415816e+00; diff = 7.395570986446985675734955299526120903e-32; -990/1000
Check failed for (fp128): x = -6.207787083493431439202183325360298015e+00; diff = 2.465190328815661891911651766508706968e-32; -988/1000
Check failed for (fp128): x = -6.201503898186251852725258038593739114e+00; diff = 2.465190328815661891911651766508706968e-32; -987/1000
Check failed for (fp128): x = -6.195220712879072266248332751827179443e+00; diff = 2.465190328815661891911651766508706968e-32; -986/1000
Check failed for (fp128): x = -6.182654342264713093294482178294061641e+00; diff = 1.232595164407830945955825883254353484e-32; -984/1000
Check failed for (fp128): x = -6.176371156957533506817556891527502740e+00; diff = 1.232595164407830945955825883254353484e-32; -983/1000
Check failed for (fp128): x = -6.170087971650353920340631604760943839e+00; diff = 1.232595164407830945955825883254353484e-32; -982/1000
Check failed for (fp128): x = -6.163804786343174333863706317994384168e+00; diff = 1.232595164407830945955825883254353484e-32; -981/1000
Check failed for (fp128): x = -6.157521601035994747386781031227825267e+00; diff = 3.081487911019577364889564708135883710e-32; -980/1000
Check failed for (fp128): x = -6.144955230421635574432930457694707466e+00; diff = 6.162975822039154729779129416271767419e-33; -978/1000
Check failed for (fp128): x = -6.132388859807276401479079884161588894e+00; diff = 1.232595164407830945955825883254353484e-32; -976/1000
Check failed for (fp128): x = -6.126105674500096815002154597395029993e+00; diff = 6.162975822039154729779129416271767419e-33; -975/1000
Check failed for (fp128): x = -6.119822489192917228525229310628471092e+00; diff = 1.232595164407830945955825883254353484e-32; -974/1000
Check failed for (fp128): x = -6.107256118578558055571378737095353290e+00; diff = 1.232595164407830945955825883254353484e-32; -972/1000
Check failed for (fp128): x = -6.100972933271378469094453450328794390e+00; diff = 6.162975822039154729779129416271767419e-33; -971/1000
Check failed for (fp128): x = -6.094689747964198882617528163562235489e+00; diff = 3.081487911019577364889564708135883710e-33; -970/1000
Check failed for (fp128): x = -6.069557006735480536709827016495999115e+00; diff = 3.081487911019577364889564708135883710e-33; -966/1000
Check failed for (fp128): x = -6.050707450813941777279051156196322413e+00; diff = 3.081487911019577364889564708135883710e-33; -963/1000
Check failed for (fp128): x = -6.044424265506762190802125869429763512e+00; diff = 6.162975822039154729779129416271767419e-33; -962/1000
Check failed for (fp128): x = -6.038141080199582604325200582663204611e+00; diff = 3.081487911019577364889564708135883710e-33; -961/1000
Check failed for (fp128): x = -6.025574709585223431371350009130086039e+00; diff = 3.081487911019577364889564708135883710e-33; -959/1000
Check failed for (fp128): x = -6.019291524278043844894424722363527138e+00; diff = 1.540743955509788682444782354067941855e-33; -958/1000
Check failed for (fp128): x = -6.013008338970864258417499435596968237e+00; diff = 3.081487911019577364889564708135883710e-33; -957/1000
Check failed for (fp128): x = -6.006725153663684671940574148830409336e+00; diff = 1.540743955509788682444782354067941855e-33; -956/1000
Check failed for (fp128): x = -6.000441968356505085463648862063850436e+00; diff = 1.540743955509788682444782354067941855e-33; -955/1000
Check failed for (fp128): x = -5.994158783049325498986723575297291535e+00; diff = 3.081487911019577364889564708135883710e-33; -954/1000
Check failed for (fp128): x = -5.987875597742145912509798288530732634e+00; diff = 1.540743955509788682444782354067941855e-33; -953/1000
Check failed for (fp128): x = -5.975309227127786739555947714997614832e+00; diff = 1.540743955509788682444782354067941855e-33; -951/1000
Check failed for (fp128): x = -5.969026041820607153079022428231055161e+00; diff = 3.081487911019577364889564708135883710e-33; -950/1000
Check failed for (fp128): x = -5.956459671206247980125171854697937359e+00; diff = 1.540743955509788682444782354067941855e-33; -948/1000
Check failed for (fp128): x = -5.950176485899068393648246567931378459e+00; diff = 1.540743955509788682444782354067941855e-33; -947/1000
Check failed for (fp128): x = -5.943893300591888807171321281164819558e+00; diff = 1.540743955509788682444782354067941855e-33; -946/1000
