Check failed for (fp64): x = -6.28318530717959; diff = 1.10110134586719e+27; -1000/1000
Check failed for (fp64): x = -6.27061893656523; diff = 9.09494701772928e-13; -998/1000
Check failed for (fp64): x = -6.26433575125805; diff = 4.54747350886464e-13; -997/1000
Check failed for (fp64): x = -6.25805256595087; diff = 2.27373675443232e-13; -996/1000
Check failed for (fp64): x = -6.25176938064369; diff = 2.27373675443232e-13; -995/1000
Check failed for (fp64): x = -6.23920301002933; diff = 1.13686837721616e-13; -993/1000
Check failed for (fp64): x = -6.22035345410779; diff = 5.6843418860808e-14; -990/1000
Check failed for (fp64): x = -6.21407026880061; diff = 2.8421709430404e-14; -989/1000
Check failed for (fp64): x = -6.18893752757189; diff = 2.8421709430404e-14; -985/1000
Check failed for (fp64): x = -6.17637115695753; diff = 1.4210854715202e-14; -983/1000
Check failed for (fp64): x = -6.17008797165035; diff = 1.4210854715202e-14; -982/1000
Check failed for (fp64): x = -6.15123841572882; diff = 7.105427357601e-15; -979/1000
Check failed for (fp64): x = -6.14495523042164; diff = 7.105427357601e-15; -978/1000
Check failed for (fp64): x = -6.13867204511446; diff = 7.105427357601e-15; -977/1000
Check failed for (fp64): x = -6.13238885980728; diff = 1.4210854715202e-14; -976/1000
Check failed for (fp64): x = -6.1261056745001; diff = 7.105427357601e-15; -975/1000
Check failed for (fp64): x = -6.10725611857856; diff = 7.105427357601e-15; -972/1000
Check failed for (fp64): x = -6.10097293327138; diff = 1.06581410364015e-14; -971/1000
Check failed for (fp64): x = -6.08840656265702; diff = 3.5527136788005e-15; -969/1000
Check failed for (fp64): x = -6.05699063612112; diff = 3.5527136788005e-15; -964/1000
Check failed for (fp64): x = -6.05070745081394; diff = 3.5527136788005e-15; -963/1000
Check failed for (fp64): x = -6.04442426550676; diff = 3.5527136788005e-15; -962/1000
Check failed for (fp64): x = -6.03814108019958; diff = 3.5527136788005e-15; -961/1000
Check failed for (fp64): x = -6.0318578948924; diff = 3.5527136788005e-15; -960/1000
Check failed for (fp64): x = -6.01929152427804; diff = 1.77635683940025e-15; -958/1000
Check failed for (fp64): x = -6.01300833897086; diff = 1.77635683940025e-15; -957/1000
Check failed for (fp64): x = -6.00672515366368; diff = 3.5527136788005e-15; -956/1000
Check failed for (fp64): x = -6.0004419683565; diff = 1.77635683940025e-15; -955/1000
Check failed for (fp64): x = -5.99415878304932; diff = 1.77635683940025e-15; -954/1000
Check failed for (fp64): x = -5.98787559774215; diff = 3.5527136788005e-15; -953/1000
Check failed for (fp64): x = -5.98159241243497; diff = 1.77635683940025e-15; -952/1000
Check failed for (fp64): x = -5.97530922712779; diff = 3.5527136788005e-15; -951/1000
Check failed for (fp64): x = -5.96902604182061; diff = 1.77635683940025e-15; -950/1000
Check failed for (fp64): x = -5.95645967120625; diff = 1.77635683940025e-15; -948/1000
Check failed for (fp64): x = -5.94389330059189; diff = 1.77635683940025e-15; -946/1000
Check failed for (fp64): x = -5.93132692997753; diff = 1.77635683940025e-15; -944/1000
Check failed for (fp64): x = -5.92504374467035; diff = 1.77635683940025e-15; -943/1000
Check failed for (fp64): x = -5.91876055936317; diff = 8.88178419700125e-16; -942/1000
Check failed for (fp64): x = -5.91247737405599; diff = 1.77635683940025e-15; -941/1000
Check failed for (fp64): x = -5.90619418874881; diff = 8.88178419700125e-16; -940/1000
Check failed for (fp64): x = -5.88734463282727; diff = 8.88178419700125e-16; -937/1000
Check failed for (fp64): x = -5.88106144752009; diff = 8.88178419700125e-16; -936/1000
Check failed for (fp64): x = -5.86849507690573; diff = 8.88178419700125e-16; -934/1000
Check failed for (fp64): x = -5.86221189159855; diff = 8.88178419700125e-16; -933/1000
Check failed for (fp64): x = -5.85592870629137; diff = 8.88178419700125e-16; -932/1000
Check failed for (fp64): x = -5.8496455209842; diff = 1.77635683940025e-15; -931/1000
Check failed for (fp64): x = -5.83707915036984; diff = 1.77635683940025e-15; -929/1000
Check failed for (fp64): x = -5.83079596506266; diff = 1.77635683940025e-15; -928/1000
Check failed for (fp64): x = -5.82451277975548; diff = 8.88178419700125e-16; -927/1000
Check failed for (fp64): x = -5.81194640914112; diff = 1.77635683940025e-15; -925/1000
Check failed for (fp64): x = -5.80566322383394; diff = 8.88178419700125e-16; -924/1000
Check failed for (fp64): x = -5.79938003852676; diff = 8.88178419700125e-16; -923/1000
Check failed for (fp64): x = -5.78053048260522; diff = 8.88178419700125e-16; -920/1000
Check failed for (fp64): x = -5.77424729729804; diff = 1.77635683940025e-15; -919/1000
Check failed for (fp64): x = -5.76796411199086; diff = 8.88178419700125e-16; -918/1000
Check failed for (fp64): x = -5.7553977413765; diff = 4.44089209850063e-16; -916/1000
Check failed for (fp64): x = -5.74911455606932; diff = 8.88178419700125e-16; -915/1000
Check failed for (fp64): x = -5.74283137076214; diff = 4.44089209850063e-16; -914/1000
Check failed for (fp64): x = -5.73654818545496; diff = 4.44089209850063e-16; -913/1000
Check failed for (fp64): x = -5.7239818148406; diff = 8.88178419700125e-16; -911/1000
Check failed for (fp64): x = -5.71769862953342; diff = 8.88178419700125e-16; -910/1000
Check failed for (fp64): x = -5.71141544422624; diff = 8.88178419700125e-16; -909/1000
Check failed for (fp64): x = -5.70513225891906; diff = 4.44089209850063e-16; -908/1000
Check failed for (fp64): x = -5.69884907361188; diff = 4.44089209850063e-16; -907/1000
Check failed for (fp64): x = -5.69256588830471; diff = 4.44089209850063e-16; -906/1000
Check failed for (fp64): x = -5.68628270299753; diff = 4.44089209850063e-16; -905/1000
Check failed for (fp64): x = -5.67999951769035; diff = 4.44089209850063e-16; -904/1000
Check failed for (fp64): x = -5.67371633238317; diff = 4.44089209850063e-16; -903/1000
Check failed for (fp64): x = -5.66743314707599; diff = 4.44089209850063e-16; -902/1000
Check failed for (fp64): x = -5.66114996176881; diff = 8.88178419700125e-16; -901/1000
Check failed for (fp64): x = -5.65486677646163; diff = 4.44089209850063e-16; -900/1000
Check failed for (fp64): x = -5.64858359115445; diff = 4.44089209850063e-16; -899/1000
Check failed for (fp64): x = -5.64230040584727; diff = 4.44089209850063e-16; -898/1000
Check failed for (fp64): x = -5.62973403523291; diff = 4.44089209850063e-16; -896/1000
Check failed for (fp64): x = -5.62345084992573; diff = 4.44089209850063e-16; -895/1000
Check failed for (fp64): x = -5.61716766461855; diff = 4.44089209850063e-16; -894/1000
Check failed for (fp64): x = -5.61088447931137; diff = 4.44089209850063e-16; -893/1000
Check failed for (fp64): x = -5.60460129400419; diff = 8.88178419700125e-16; -892/1000
Check failed for (fp64): x = -5.59831810869701; diff = 4.44089209850063e-16; -891/1000
Check failed for (fp64): x = -5.59203492338983; diff = 8.88178419700125e-16; -890/1000
Check failed for (fp64): x = -5.57946855277547; diff = 4.44089209850063e-16; -888/1000
Check failed for (fp64): x = -5.57318536746829; diff = 4.44089209850063e-16; -887/1000
Check failed for (fp64): x = -5.56690218216111; diff = 4.44089209850063e-16; -886/1000
Check failed for (fp64): x = -5.56061899685393; diff = 4.44089209850063e-16; -885/1000
Check failed for (fp64): x = -5.55433581154675; diff = 4.44089209850063e-16; -884/1000
Check failed for (fp64): x = -5.54176944093239; diff = 4.44089209850063e-16; -882/1000
Check failed for (fp64): x = -5.52920307031804; diff = 4.44089209850063e-16; -880/1000
Check failed for (fp64): x = -5.52291988501086; diff = 4.44089209850063e-16; -879/1000
Check failed for (fp64): x = -5.51663669970368; diff = 4.44089209850063e-16; -878/1000
Check failed for (fp64): x = -5.5103535143965; diff = 4.44089209850063e-16; -877/1000
Check failed for (fp64): x = -5.49150395847496; diff = 2.22044604925031e-16; -874/1000
Check failed for (fp64): x = -5.48522077316778; diff = 4.44089209850063e-16; -873/1000
Check failed for (fp64): x = -5.4789375878606; diff = 2.22044604925031e-16; -872/1000
Check failed for (fp64): x = -5.47265440255342; diff = 2.22044604925031e-16; -871/1000
Check failed for (fp64): x = -5.46637121724624; diff = 2.22044604925031e-16; -870/1000
Check failed for (fp64): x = -5.46008803193906; diff = 2.22044604925031e-16; -869/1000
Check failed for (fp64): x = -5.45380484663188; diff = 2.22044604925031e-16; -868/1000
Check failed for (fp64): x = -5.43495529071034; diff = 4.44089209850063e-16; -865/1000
Check failed for (fp64): x = -5.4161057347888; diff = 2.22044604925031e-16; -862/1000
Check failed for (fp64): x = -5.40982254948162; diff = 2.22044604925031e-16; -861/1000
