Check failed for (fp128): x = -6.283185307179586476925286766559005595e+00; diff = inf; -1000/1000
Check failed for (fp128): x = -6.276902121872406890448361479792446694e+00; diff = 4.282035601152804706250539118425624003e-29; -999/1000
Check failed for (fp128): x = -6.270618936565227303971436193025887793e+00; diff = 5.300159206953673067610051297993719981e-30; -998/1000
Check failed for (fp128): x = -6.264335751258047717494510906259328122e+00; diff = 3.038347080265303281781110802221981338e-30; -997/1000
Check failed for (fp128): x = -6.258052565950868131017585619492769221e+00; diff = 5.854827030937196993290172945458179048e-31; -996/1000
Check failed for (fp128): x = -6.251769380643688544540660332726210320e+00; diff = 2.865783757248206949347295178566371850e-31; -995/1000
Check failed for (fp128): x = -6.245486195336508958063735045959651420e+00; diff = 3.636155735003101290569686355600342777e-31; -994/1000
Check failed for (fp128): x = -6.239203010029329371586809759193092519e+00; diff = 1.664003471950571777040364942393377203e-31; -993/1000
Check failed for (fp128): x = -6.232919824722149785109884472426533618e+00; diff = 4.314083075427408310845390591390237194e-32; -992/1000
Check failed for (fp128): x = -6.226636639414970198632959185659974717e+00; diff = 8.320017359752858885201824711966886016e-32; -991/1000
Check failed for (fp128): x = -6.220353454107790612156033898893415816e+00; diff = 1.232595164407830945955825883254353484e-32; -990/1000
Check failed for (fp128): x = -6.214070268800611025679108612126856916e+00; diff = 5.392603844284260388556738239237796492e-32; -989/1000
Check failed for (fp128): x = -6.207787083493431439202183325360298015e+00; diff = 2.311115933264683023667173531101912782e-32; -988/1000
Check failed for (fp128): x = -6.201503898186251852725258038593739114e+00; diff = 1.232595164407830945955825883254353484e-32; -987/1000
Check failed for (fp128): x = -6.195220712879072266248332751827179443e+00; diff = 4.622231866529366047334347062203825564e-33; -986/1000
Check failed for (fp128): x = -6.182654342264713093294482178294061641e+00; diff = 2.157041537713704155422695295695118597e-32; -984/1000
Check failed for (fp128): x = -6.176371156957533506817556891527502740e+00; diff = 1.848892746611746418933738824881530226e-32; -983/1000
Check failed for (fp128): x = -6.170087971650353920340631604760943839e+00; diff = 9.244463733058732094668694124407651129e-33; -982/1000
Check failed for (fp128): x = -6.163804786343174333863706317994384168e+00; diff = 9.244463733058732094668694124407651129e-33; -981/1000
Check failed for (fp128): x = -6.157521601035994747386781031227825267e+00; diff = 3.081487911019577364889564708135883710e-33; -980/1000
Check failed for (fp128): x = -6.151238415728815160909855744461266367e+00; diff = 3.081487911019577364889564708135883710e-33; -979/1000
Check failed for (fp128): x = -6.144955230421635574432930457694707466e+00; diff = 6.162975822039154729779129416271767419e-33; -978/1000
Check failed for (fp128): x = -6.138672045114455987956005170928148565e+00; diff = 3.081487911019577364889564708135883710e-33; -977/1000
Check failed for (fp128): x = -6.132388859807276401479079884161588894e+00; diff = 7.703719777548943412223911770339709274e-34; -976/1000
Check failed for (fp128): x = -6.126105674500096815002154597395029993e+00; diff = 7.703719777548943412223911770339709274e-34; -975/1000
Check failed for (fp128): x = -6.119822489192917228525229310628471092e+00; diff = 3.081487911019577364889564708135883710e-33; -974/1000
Check failed for (fp128): x = -6.113539303885737642048304023861912191e+00; diff = 2.311115933264683023667173531101912782e-33; -973/1000
Check failed for (fp128): x = -6.107256118578558055571378737095353290e+00; diff = 3.851859888774471706111955885169854637e-33; -972/1000
Check failed for (fp128): x = -6.100972933271378469094453450328794390e+00; diff = 3.851859888774471706111955885169854637e-33; -971/1000
Check failed for (fp128): x = -6.094689747964198882617528163562235489e+00; diff = 1.540743955509788682444782354067941855e-33; -970/1000
Check failed for (fp128): x = -6.088406562657019296140602876795676588e+00; diff = 3.081487911019577364889564708135883710e-33; -969/1000
Check failed for (fp128): x = -6.082123377349839709663677590029117687e+00; diff = 1.540743955509788682444782354067941855e-33; -968/1000
Check failed for (fp128): x = -6.075840192042660123186752303262558786e+00; diff = 1.540743955509788682444782354067941855e-33; -967/1000
Check failed for (fp128): x = -6.063273821428300950232901729729440214e+00; diff = 7.703719777548943412223911770339709274e-34; -965/1000
Check failed for (fp128): x = -6.056990636121121363755976442962881313e+00; diff = 7.703719777548943412223911770339709274e-34; -964/1000
Check failed for (fp128): x = -6.050707450813941777279051156196322413e+00; diff = 7.703719777548943412223911770339709274e-34; -963/1000
Check failed for (fp128): x = -6.044424265506762190802125869429763512e+00; diff = 1.540743955509788682444782354067941855e-33; -962/1000
Check failed for (fp128): x = -6.038141080199582604325200582663204611e+00; diff = 7.703719777548943412223911770339709274e-34; -961/1000
Check failed for (fp128): x = -6.031857894892403017848275295896644940e+00; diff = 1.925929944387235853055977942584927319e-33; -960/1000
Check failed for (fp128): x = -6.025574709585223431371350009130086039e+00; diff = 1.155557966632341511833586765550956391e-33; -959/1000
Check failed for (fp128): x = -6.013008338970864258417499435596968237e+00; diff = 7.703719777548943412223911770339709274e-34; -957/1000
Check failed for (fp128): x = -6.006725153663684671940574148830409336e+00; diff = 7.703719777548943412223911770339709274e-34; -956/1000
Check failed for (fp128): x = -6.000441968356505085463648862063850436e+00; diff = 3.851859888774471706111955885169854637e-34; -955/1000
Check failed for (fp128): x = -5.994158783049325498986723575297291535e+00; diff = 3.851859888774471706111955885169854637e-34; -954/1000
Check failed for (fp128): x = -5.987875597742145912509798288530732634e+00; diff = 3.851859888774471706111955885169854637e-34; -953/1000
Check failed for (fp128): x = -5.981592412434966326032873001764173733e+00; diff = 7.703719777548943412223911770339709274e-34; -952/1000
Check failed for (fp128): x = -5.975309227127786739555947714997614832e+00; diff = 3.851859888774471706111955885169854637e-34; -951/1000
Check failed for (fp128): x = -5.956459671206247980125171854697937359e+00; diff = 7.703719777548943412223911770339709274e-34; -948/1000
Check failed for (fp128): x = -5.950176485899068393648246567931378459e+00; diff = 7.703719777548943412223911770339709274e-34; -947/1000
Check failed for (fp128): x = -5.943893300591888807171321281164819558e+00; diff = 7.703719777548943412223911770339709274e-34; -946/1000
Check failed for (fp128): x = -5.937610115284709220694395994398259887e+00; diff = 3.851859888774471706111955885169854637e-34; -945/1000
Check failed for (fp128): x = -5.931326929977529634217470707631700986e+00; diff = 3.851859888774471706111955885169854637e-34; -944/1000
Check failed for (fp128): x = -5.925043744670350047740545420865142085e+00; diff = 3.851859888774471706111955885169854637e-34; -943/1000
Check failed for (fp128): x = -5.912477374055990874786694847332024283e+00; diff = 7.703719777548943412223911770339709274e-34; -941/1000
Check failed for (fp128): x = -5.899911003441631701832844273798905711e+00; diff = 3.851859888774471706111955885169854637e-34; -939/1000
Check failed for (fp128): x = -5.893627818134452115355918987032346810e+00; diff = 3.851859888774471706111955885169854637e-34; -938/1000
Check failed for (fp128): x = -5.887344632827272528878993700265788680e+00; diff = 3.851859888774471706111955885169854637e-34; -937/1000
