Check failed for (fp64): x = -6.28318530717959; diff = inf; -1000/1000
Check failed for (fp64): x = -6.27690212187241; diff = 2.45847786572995e-11; -999/1000
Check failed for (fp64): x = -6.27061893656523; diff = 6.45172804070171e-12; -998/1000
Check failed for (fp64): x = -6.26433575125805; diff = 3.41060513164848e-12; -997/1000
Check failed for (fp64): x = -6.25805256595087; diff = 4.9737991503207e-13; -996/1000
Check failed for (fp64): x = -6.25176938064369; diff = 8.5265128291212e-14; -995/1000
Check failed for (fp64): x = -6.24548619533651; diff = 2.27373675443232e-13; -994/1000
Check failed for (fp64): x = -6.23920301002933; diff = 2.45137243837235e-13; -993/1000
Check failed for (fp64): x = -6.23291982472215; diff = 1.59872115546023e-13; -992/1000
Check failed for (fp64): x = -6.22663663941497; diff = 1.35003119794419e-13; -991/1000
Check failed for (fp64): x = -6.22035345410779; diff = 3.19744231092045e-14; -990/1000
Check failed for (fp64): x = -6.21407026880061; diff = 5.32907051820075e-14; -989/1000
Check failed for (fp64): x = -6.20778708349343; diff = 6.03961325396085e-14; -988/1000
Check failed for (fp64): x = -6.20150389818625; diff = 1.59872115546023e-14; -987/1000
Check failed for (fp64): x = -6.19522071287907; diff = 1.06581410364015e-14; -986/1000
Check failed for (fp64): x = -6.18893752757189; diff = 2.48689957516035e-14; -985/1000
Check failed for (fp64): x = -6.18265434226471; diff = 1.77635683940025e-14; -984/1000
Check failed for (fp64): x = -6.17637115695753; diff = 5.32907051820075e-15; -983/1000
Check failed for (fp64): x = -6.17008797165035; diff = 1.77635683940025e-15; -982/1000
Check failed for (fp64): x = -6.16380478634317; diff = 1.77635683940025e-15; -981/1000
Check failed for (fp64): x = -6.15752160103599; diff = 1.24344978758018e-14; -980/1000
Check failed for (fp64): x = -6.15123841572882; diff = 2.66453525910038e-15; -979/1000
Check failed for (fp64): x = -6.14495523042164; diff = 1.77635683940025e-15; -978/1000
Check failed for (fp64): x = -6.13867204511446; diff = 4.44089209850063e-15; -977/1000
Check failed for (fp64): x = -6.13238885980728; diff = 4.44089209850063e-15; -976/1000
Check failed for (fp64): x = -6.11982248919292; diff = 2.66453525910038e-15; -974/1000
Check failed for (fp64): x = -6.11353930388574; diff = 5.32907051820075e-15; -973/1000
Check failed for (fp64): x = -6.10725611857856; diff = 4.44089209850063e-15; -972/1000
Check failed for (fp64): x = -6.10097293327138; diff = 4.44089209850063e-15; -971/1000
Check failed for (fp64): x = -6.0946897479642; diff = 8.88178419700125e-16; -970/1000
Check failed for (fp64): x = -6.08840656265702; diff = 1.77635683940025e-15; -969/1000
Check failed for (fp64): x = -6.08212337734984; diff = 3.5527136788005e-15; -968/1000
Check failed for (fp64): x = -6.07584019204266; diff = 2.66453525910038e-15; -967/1000
Check failed for (fp64): x = -6.06955700673548; diff = 8.88178419700125e-16; -966/1000
Check failed for (fp64): x = -6.0632738214283; diff = 1.77635683940025e-15; -965/1000
Check failed for (fp64): x = -6.05699063612112; diff = 1.77635683940025e-15; -964/1000
Check failed for (fp64): x = -6.04442426550676; diff = 1.77635683940025e-15; -962/1000
Check failed for (fp64): x = -6.03814108019958; diff = 8.88178419700125e-16; -961/1000
Check failed for (fp64): x = -6.0318578948924; diff = 8.88178419700125e-16; -960/1000
Check failed for (fp64): x = -6.02557470958522; diff = 4.44089209850063e-16; -959/1000
Check failed for (fp64): x = -6.01929152427804; diff = 4.44089209850063e-16; -958/1000
Check failed for (fp64): x = -6.01300833897086; diff = 8.88178419700125e-16; -957/1000
Check failed for (fp64): x = -6.00672515366368; diff = 1.33226762955019e-15; -956/1000
Check failed for (fp64): x = -6.0004419683565; diff = 4.44089209850063e-16; -955/1000
Check failed for (fp64): x = -5.99415878304932; diff = 8.88178419700125e-16; -954/1000
Check failed for (fp64): x = -5.98787559774215; diff = 8.88178419700125e-16; -953/1000
Check failed for (fp64): x = -5.98159241243497; diff = 8.88178419700125e-16; -952/1000
Check failed for (fp64): x = -5.97530922712779; diff = 1.33226762955019e-15; -951/1000
Check failed for (fp64): x = -5.96902604182061; diff = 8.88178419700125e-16; -950/1000
Check failed for (fp64): x = -5.96274285651343; diff = 8.88178419700125e-16; -949/1000
Check failed for (fp64): x = -5.95017648589907; diff = 4.44089209850063e-16; -947/1000
Check failed for (fp64): x = -5.93132692997753; diff = 8.88178419700125e-16; -944/1000
Check failed for (fp64): x = -5.91876055936317; diff = 8.88178419700125e-16; -942/1000
Check failed for (fp64): x = -5.91247737405599; diff = 4.44089209850063e-16; -941/1000
Check failed for (fp64): x = -5.87477826221291; diff = 4.44089209850063e-16; -935/1000
Check failed for (fp64): x = -5.86849507690573; diff = 4.44089209850063e-16; -934/1000
Check failed for (fp64): x = -5.84336233567702; diff = 4.44089209850063e-16; -930/1000
Check failed for (fp64): x = -5.83707915036984; diff = 4.44089209850063e-16; -929/1000
Check failed for (fp64): x = -5.83079596506266; diff = 4.44089209850063e-16; -928/1000
Check failed for (fp64): x = -5.81194640914112; diff = 4.44089209850063e-16; -925/1000
Check failed for (fp64): x = -5.80566322383394; diff = 2.22044604925031e-16; -924/1000
Check failed for (fp64): x = -5.79938003852676; diff = 2.22044604925031e-16; -923/1000
Check failed for (fp64): x = -5.7868136679124; diff = 4.44089209850063e-16; -921/1000
Check failed for (fp64): x = -5.78053048260522; diff = 2.22044604925031e-16; -920/1000
Check failed for (fp64): x = -5.76796411199086; diff = 2.22044604925031e-16; -918/1000
Check failed for (fp64): x = -5.76168092668368; diff = 2.22044604925031e-16; -917/1000
Check failed for (fp64): x = -5.7553977413765; diff = 2.22044604925031e-16; -916/1000
Check failed for (fp64): x = -5.74911455606932; diff = 2.22044604925031e-16; -915/1000
Check failed for (fp64): x = -5.7239818148406; diff = 2.22044604925031e-16; -911/1000
Check failed for (fp64): x = -5.69884907361188; diff = 2.22044604925031e-16; -907/1000
Check failed for (fp64): x = -5.69256588830471; diff = 2.22044604925031e-16; -906/1000
Check failed for (fp64): x = -5.68628270299753; diff = 2.22044604925031e-16; -905/1000
Check failed for (fp64): x = -5.67999951769035; diff = 2.22044604925031e-16; -904/1000
Check failed for (fp64): x = -5.67371633238317; diff = 2.22044604925031e-16; -903/1000
Check failed for (fp64): x = -5.64230040584727; diff = 2.22044604925031e-16; -898/1000
Check failed for (fp64): x = -5.63601722054009; diff = 2.22044604925031e-16; -897/1000
Check failed for (fp64): x = -5.59831810869701; diff = 2.22044604925031e-16; -891/1000
