Check failed for (fp64): x = -6.28318530717959; diff = 134843797118.5; -1000/1000
Check failed for (fp64): x = -6.26433575125805; diff = 7.105427357601e-15; -997/1000
Check failed for (fp64): x = -6.25176938064369; diff = 3.5527136788005e-15; -995/1000
Check failed for (fp64): x = -6.22035345410779; diff = 3.5527136788005e-15; -990/1000
Check failed for (fp64): x = -6.21407026880061; diff = 1.77635683940025e-15; -989/1000
Check failed for (fp64): x = -6.19522071287907; diff = 1.77635683940025e-15; -986/1000
Check failed for (fp64): x = -6.14495523042164; diff = 8.88178419700125e-16; -978/1000
Check failed for (fp64): x = -6.13867204511446; diff = 8.88178419700125e-16; -977/1000
Check failed for (fp64): x = -6.13238885980728; diff = 8.88178419700125e-16; -976/1000
Check failed for (fp64): x = -6.11982248919292; diff = 8.88178419700125e-16; -974/1000
Check failed for (fp64): x = -6.10725611857856; diff = 8.88178419700125e-16; -972/1000
Check failed for (fp64): x = -6.05699063612112; diff = 8.88178419700125e-16; -964/1000
Check failed for (fp64): x = -6.03814108019958; diff = 4.44089209850063e-16; -961/1000
Check failed for (fp64): x = -6.02557470958522; diff = 4.44089209850063e-16; -959/1000
Check failed for (fp64): x = -6.01929152427804; diff = 4.44089209850063e-16; -958/1000
Check failed for (fp64): x = -6.00672515366368; diff = 4.44089209850063e-16; -956/1000
Check failed for (fp64): x = -6.0004419683565; diff = 4.44089209850063e-16; -955/1000
Check failed for (fp64): x = -5.99415878304932; diff = 4.44089209850063e-16; -954/1000
Check failed for (fp64): x = -5.98787559774215; diff = 4.44089209850063e-16; -953/1000
Check failed for (fp64): x = -5.96902604182061; diff = 4.44089209850063e-16; -950/1000
Check failed for (fp64): x = -5.95645967120625; diff = 4.44089209850063e-16; -948/1000
Check failed for (fp64): x = -5.95017648589907; diff = 4.44089209850063e-16; -947/1000
Check failed for (fp64): x = -5.89362781813445; diff = 4.44089209850063e-16; -938/1000
Check failed for (fp64): x = -5.88106144752009; diff = 4.44089209850063e-16; -936/1000
Check failed for (fp64): x = -5.86849507690573; diff = 4.44089209850063e-16; -934/1000
Check failed for (fp64): x = -5.8496455209842; diff = 4.44089209850063e-16; -931/1000
Check failed for (fp64): x = -5.83079596506266; diff = 4.44089209850063e-16; -928/1000
Check failed for (fp64): x = -5.8182295944483; diff = 2.22044604925031e-16; -926/1000
Check failed for (fp64): x = -5.81194640914112; diff = 4.44089209850063e-16; -925/1000
Check failed for (fp64): x = -5.80566322383394; diff = 2.22044604925031e-16; -924/1000
Check failed for (fp64): x = -5.79938003852676; diff = 2.22044604925031e-16; -923/1000
Check failed for (fp64): x = -5.79309685321958; diff = 2.22044604925031e-16; -922/1000
Check failed for (fp64): x = -5.7868136679124; diff = 2.22044604925031e-16; -921/1000
Check failed for (fp64): x = -5.76168092668368; diff = 2.22044604925031e-16; -917/1000
Check failed for (fp64): x = -5.7553977413765; diff = 2.22044604925031e-16; -916/1000
Check failed for (fp64): x = -5.74911455606932; diff = 2.22044604925031e-16; -915/1000
Check failed for (fp64): x = -5.74283137076214; diff = 2.22044604925031e-16; -914/1000
Check failed for (fp64): x = -5.73654818545496; diff = 2.22044604925031e-16; -913/1000
Check failed for (fp64): x = -5.71769862953342; diff = 2.22044604925031e-16; -910/1000
Check failed for (fp64): x = -5.71141544422624; diff = 2.22044604925031e-16; -909/1000
Check failed for (fp64): x = -5.68628270299753; diff = 2.22044604925031e-16; -905/1000
Check failed for (fp64): x = -5.67999951769035; diff = 2.22044604925031e-16; -904/1000
Check failed for (fp64): x = -5.62345084992573; diff = 2.22044604925031e-16; -895/1000
Check failed for (fp64): x = -5.61088447931137; diff = 2.22044604925031e-16; -893/1000
Check failed for (fp64): x = -5.59831810869701; diff = 2.22044604925031e-16; -891/1000
Check failed for (fp64): x = -5.59203492338983; diff = 2.22044604925031e-16; -890/1000
Check failed for (fp64): x = -5.58575173808265; diff = 2.22044604925031e-16; -889/1000
Check failed for (fp64): x = -5.57318536746829; diff = 2.22044604925031e-16; -887/1000
Check failed for (fp64): x = -5.56690218216111; diff = 2.22044604925031e-16; -886/1000
Check failed for (fp64): x = -5.53548625562522; diff = 2.22044604925031e-16; -881/1000
Check failed for (fp64): x = -5.5103535143965; diff = 2.22044604925031e-16; -877/1000
Check failed for (fp64): x = -5.46637121724624; diff = 1.11022302462516e-16; -870/1000
Check failed for (fp64): x = -5.46008803193906; diff = 1.11022302462516e-16; -869/1000
Check failed for (fp64): x = -5.43495529071034; diff = 1.11022302462516e-16; -865/1000
Check failed for (fp64): x = -5.42867210540316; diff = 1.11022302462516e-16; -864/1000
Check failed for (fp64): x = -5.42238892009598; diff = 1.11022302462516e-16; -863/1000
Check failed for (fp64): x = -5.4161057347888; diff = 1.11022302462516e-16; -862/1000
Check failed for (fp64): x = -5.40982254948162; diff = 1.11022302462516e-16; -861/1000
Check failed for (fp64): x = -5.39097299356008; diff = 1.11022302462516e-16; -858/1000
Check failed for (fp64): x = -5.38468980825291; diff = 1.11022302462516e-16; -857/1000
Check failed for (fp64): x = -5.36584025233137; diff = 2.22044604925031e-16; -854/1000
Check failed for (fp64): x = -5.35327388171701; diff = 1.11022302462516e-16; -852/1000
Check failed for (fp64): x = -5.34699069640983; diff = 1.11022302462516e-16; -851/1000
Check failed for (fp64): x = -5.34070751110265; diff = 1.11022302462516e-16; -850/1000
Check failed for (fp64): x = -5.31557476987393; diff = 1.11022302462516e-16; -846/1000
Check failed for (fp64): x = -5.30300839925957; diff = 1.11022302462516e-16; -844/1000
Check failed for (fp64): x = -5.28415884333803; diff = 1.11022302462516e-16; -841/1000
Check failed for (fp64): x = -5.26530928741649; diff = 1.11022302462516e-16; -838/1000
Check failed for (fp64): x = -5.25902610210931; diff = 1.11022302462516e-16; -837/1000
Check failed for (fp64): x = -5.24645973149495; diff = 1.11022302462516e-16; -835/1000
Check failed for (fp64): x = -5.24017654618777; diff = 1.11022302462516e-16; -834/1000
Check failed for (fp64): x = -5.22761017557342; diff = 1.11022302462516e-16; -832/1000
Check failed for (fp64): x = -5.21504380495906; diff = 1.11022302462516e-16; -830/1000
Check failed for (fp64): x = -5.20876061965188; diff = 1.11022302462516e-16; -829/1000
Check failed for (fp64): x = -5.2024774343447; diff = 1.11022302462516e-16; -828/1000
Check failed for (fp64): x = -5.18991106373034; diff = 1.11022302462516e-16; -826/1000
Check failed for (fp64): x = -5.18362787842316; diff = 1.11022302462516e-16; -825/1000
Check failed for (fp64): x = -5.17734469311598; diff = 1.11022302462516e-16; -824/1000
Check failed for (fp64): x = -5.1710615078088; diff = 1.11022302462516e-16; -823/1000
Check failed for (fp64): x = -5.16477832250162; diff = 1.11022302462516e-16; -822/1000
Check failed for (fp64): x = -5.12707921065854; diff = 1.11022302462516e-16; -816/1000
Check failed for (fp64): x = -5.08309691350829; diff = 1.11022302462516e-16; -809/1000
Check failed for (fp64): x = -5.07681372820111; diff = 1.11022302462516e-16; -808/1000
Check failed for (fp64): x = -5.07053054289393; diff = 1.11022302462516e-16; -807/1000
Check failed for (fp64): x = -5.06424735758675; diff = 1.11022302462516e-16; -806/1000
Check failed for (fp64): x = -5.05168098697239; diff = 1.11022302462516e-16; -804/1000
Check failed for (fp64): x = -4.98884913390059; diff = 1.11022302462516e-16; -794/1000
Check failed for (fp64): x = -4.96371639267187; diff = 1.11022302462516e-16; -790/1000
Check failed for (fp64): x = -4.94486683675034; diff = 1.38777878078145e-16; -787/1000
Check failed for (fp64): x = -4.91973409552162; diff = 1.11022302462516e-16; -783/1000
Check failed for (fp64): x = -4.91345091021444; diff = 1.38777878078145e-16; -782/1000
Check failed for (fp64): x = -4.87575179837136; diff = 1.11022302462516e-16; -776/1000
Check failed for (fp64): x = -4.86946861306418; diff = 1.38777878078145e-16; -775/1000
Check failed for (fp64): x = -4.83805268652828; diff = 1.94289029309402e-16; -770/1000
Check failed for (fp64): x = -4.82548631591392; diff = 1.52655665885959e-16; -768/1000
Check failed for (fp64): x = -4.81920313060674; diff = 1.38777878078145e-16; -767/1000
Check failed for (fp64): x = -4.8003535746852; diff = 3.05311331771918e-16; -764/1000
Check failed for (fp64): x = -4.78778720407084; diff = 2.22044604925031e-16; -762/1000
Check failed for (fp64): x = -4.78150401876367; diff = 3.33066907387547e-16; -761/1000
Check failed for (fp64): x = -4.77522083345649; diff = 1.52655665885959e-16; -760/1000
Check failed for (fp64): x = -4.76893764814931; diff = 4.30211422042248e-16; -759/1000
Check failed for (fp64): x = -4.76265446284213; diff = 4.57966997657877e-16; -758/1000
Check failed for (fp64): x = -4.75008809222777; diff = 2.84494650060196e-16; -756/1000
Check failed for (fp64): x = -4.74380490692059; diff = 7.7715611723761e-16; -755/1000
Check failed for (fp64): x = -4.73752172161341; diff = 5.51642065360625e-16; -754/1000
Check failed for (fp64): x = -4.73123853630623; diff = 8.74300631892311e-16; -753/1000
Check failed for (fp64): x = -4.72495535099905; diff = 1.87697080100691e-15; -752/1000
Check failed for (fp64): x = -4.71867216569187; diff = 1.82753118194157e-15; -751/1000
Check failed for (fp64): x = -4.71238898038469; diff = 1.83697019872103e-16; -750/1000
Check failed for (fp64): x = -4.70610579507751; diff = 1.09374315160338e-15; -749/1000
Check failed for (fp64): x = -4.69982260977033; diff = 1.14144804719274e-15; -748/1000
Check failed for (fp64): x = -4.69353942446315; diff = 1.3392065234541e-15; -747/1000
Check failed for (fp64): x = -4.68725623915597; diff = 1.87350135405495e-16; -746/1000
Check failed for (fp64): x = -4.67468986854161; diff = 4.5102810375397e-16; -744/1000
Check failed for (fp64): x = -4.66840668323443; diff = 5.89805981832114e-16; -743/1000
Check failed for (fp64): x = -4.66212349792725; diff = 2.77555756156289e-16; -742/1000
Check failed for (fp64): x = -4.65584031262007; diff = 3.19189119579733e-16; -741/1000
Check failed for (fp64): x = -4.64327394200571; diff = 3.88578058618805e-16; -739/1000
Check failed for (fp64): x = -4.63699075669853; diff = 2.22044604925031e-16; -738/1000
Check failed for (fp64): x = -4.62442438608418; diff = 2.08166817117217e-16; -736/1000
Check failed for (fp64): x = -4.618141200777; diff = 1.11022302462516e-16; -735/1000
Check failed for (fp64): x = -4.61185801546982; diff = 2.77555756156289e-16; -734/1000
Check failed for (fp64): x = -4.60557483016264; diff = 1.80411241501588e-16; -733/1000
Check failed for (fp64): x = -4.59300845954828; diff = 1.2490009027033e-16; -731/1000
Check failed for (fp64): x = -4.57415890362674; diff = 1.38777878078145e-16; -728/1000
Check failed for (fp64): x = -4.5553093477052; diff = 1.38777878078145e-16; -725/1000
Check failed for (fp64): x = -4.54902616239802; diff = 1.38777878078145e-16; -724/1000
Check failed for (fp64): x = -4.5238934211693; diff = 1.38777878078145e-16; -720/1000
Check failed for (fp64): x = -4.51761023586212; diff = 1.11022302462516e-16; -719/1000
Check failed for (fp64): x = -4.47991112401904; diff = 1.11022302462516e-16; -713/1000
Check failed for (fp64): x = -4.45477838279033; diff = 1.11022302462516e-16; -709/1000
Check failed for (fp64): x = -4.38566334441135; diff = 1.11022302462516e-16; -698/1000
Check failed for (fp64): x = -4.37309697379699; diff = 1.11022302462516e-16; -696/1000
Check failed for (fp64): x = -4.30398193541802; diff = 1.11022302462516e-16; -685/1000
Check failed for (fp64): x = -4.24115008234622; diff = 1.11022302462516e-16; -675/1000
Check failed for (fp64): x = -4.23486689703904; diff = 1.11022302462516e-16; -674/1000
Check failed for (fp64): x = -4.22858371173186; diff = 1.11022302462516e-16; -673/1000
Check failed for (fp64): x = -4.20973415581032; diff = 1.11022302462516e-16; -670/1000
Check failed for (fp64): x = -4.1846014145816; diff = 1.11022302462516e-16; -666/1000
