Check failed for (fp128): x = -6.276902121872406890448361479792446694e+00; diff = 1.540743955509788682444782354067941855e-33; -999/1000
Check failed for (fp128): x = -6.264335751258047717494510906259328122e+00; diff = 7.643534466786842291815912459633930295e-34; -997/1000
Check failed for (fp128): x = -6.258052565950868131017585619492769221e+00; diff = 7.703719777548943412223911770339709274e-34; -996/1000
Check failed for (fp128): x = -6.251769380643688544540660332726210320e+00; diff = 7.824090399073145653039910391751267232e-34; -995/1000
Check failed for (fp128): x = -6.245486195336508958063735045959651420e+00; diff = 7.824090399073145653039910391751267232e-34; -994/1000
Check failed for (fp128): x = -6.239203010029329371586809759193092519e+00; diff = 7.703719777548943412223911770339709274e-34; -993/1000
Check failed for (fp128): x = -6.232919824722149785109884472426533618e+00; diff = 7.944461020597347893855909013162825189e-34; -992/1000
Check failed for (fp128): x = -6.226636639414970198632959185659974717e+00; diff = 7.944461020597347893855909013162825189e-34; -991/1000
Check failed for (fp128): x = -6.220353454107790612156033898893415816e+00; diff = 7.703719777548943412223911770339709274e-34; -990/1000
Check failed for (fp128): x = -6.214070268800611025679108612126856916e+00; diff = 7.703719777548943412223911770339709274e-34; -989/1000
Check failed for (fp128): x = -6.207787083493431439202183325360298015e+00; diff = 8.185202263645752375487906255985941104e-34; -988/1000
Check failed for (fp128): x = -6.201503898186251852725258038593739114e+00; diff = 7.703719777548943412223911770339709274e-34; -987/1000
Check failed for (fp128): x = -6.195220712879072266248332751827179443e+00; diff = 1.637040452729150475097581251197188221e-33; -986/1000
Check failed for (fp128): x = -6.182654342264713093294482178294061641e+00; diff = 1.733336949948512267750380148326434587e-33; -984/1000
Check failed for (fp128): x = -6.170087971650353920340631604760943839e+00; diff = 1.733336949948512267750380148326434587e-33; -982/1000
Check failed for (fp128): x = -6.163804786343174333863706317994384168e+00; diff = 8.666684749742561338751900741632172933e-34; -981/1000
Check failed for (fp128): x = -6.157521601035994747386781031227825267e+00; diff = 9.629649721936179265279889712924636593e-34; -980/1000
Check failed for (fp128): x = -6.151238415728815160909855744461266367e+00; diff = 9.629649721936179265279889712924636593e-34; -979/1000
Check failed for (fp128): x = -6.144955230421635574432930457694707466e+00; diff = 9.148167235839370302015895227278404763e-34; -978/1000
Check failed for (fp128): x = -6.138672045114455987956005170928148565e+00; diff = 8.666684749742561338751900741632172933e-34; -977/1000
Check failed for (fp128): x = -6.126105674500096815002154597395029993e+00; diff = 2.022226441606597645708776839714173684e-33; -975/1000
Check failed for (fp128): x = -6.113539303885737642048304023861912191e+00; diff = 1.925929944387235853055977942584927319e-33; -973/1000
Check failed for (fp128): x = -6.100972933271378469094453450328794390e+00; diff = 2.118522938825959438361575736843420050e-33; -971/1000
Check failed for (fp128): x = -6.088406562657019296140602876795676588e+00; diff = 2.214819436045321231014374633972666416e-33; -969/1000
Check failed for (fp128): x = -6.075840192042660123186752303262558786e+00; diff = 2.407412430484044816319972428231159148e-33; -967/1000
Check failed for (fp128): x = -6.069557006735480536709827016495999115e+00; diff = 1.059261469412979719180787868421710025e-33; -966/1000
Check failed for (fp128): x = -6.063273821428300950232901729729440214e+00; diff = 1.348150961071065097139184559809449123e-33; -965/1000
Check failed for (fp128): x = -6.056990636121121363755976442962881313e+00; diff = 1.251854463851703304486385662680202757e-33; -964/1000
Check failed for (fp128): x = -6.050707450813941777279051156196322413e+00; diff = 1.348150961071065097139184559809449123e-33; -963/1000
Check failed for (fp128): x = -6.044424265506762190802125869429763512e+00; diff = 1.251854463851703304486385662680202757e-33; -962/1000
Check failed for (fp128): x = -6.038141080199582604325200582663204611e+00; diff = 1.444447458290426889791983456938695489e-33; -961/1000
Check failed for (fp128): x = -6.031857894892403017848275295896644940e+00; diff = 2.888894916580853779583966913877390978e-33; -960/1000
Check failed for (fp128): x = -6.019291524278043844894424722363527138e+00; diff = 3.274080905458300950195162502394376442e-33; -958/1000
Check failed for (fp128): x = -6.006725153663684671940574148830409336e+00; diff = 3.274080905458300950195162502394376442e-33; -956/1000
Check failed for (fp128): x = -6.000441968356505085463648862063850436e+00; diff = 1.925929944387235853055977942584927319e-34; -955/1000
Check failed for (fp128): x = -5.994158783049325498986723575297291535e+00; diff = 3.851859888774471706111955885169854637e-33; -954/1000
Check failed for (fp128): x = -5.981592412434966326032873001764173733e+00; diff = 4.237045877651918876723151473686840101e-33; -952/1000
Check failed for (fp128): x = -5.969026041820607153079022428231055161e+00; diff = 1.925929944387235853055977942584927319e-33; -950/1000
Check failed for (fp128): x = -5.962742856513427566602097141464496260e+00; diff = 2.311115933264683023667173531101912782e-33; -949/1000
