Check failed for (fp64): alpha = -6.28318530717959; beta = -1.5707963267949; diff = 539375188474; -1000/1000
Check failed for (fp64): alpha = -6.27061893656523; beta = -1.56765473414131; diff = 5.6843418860808e-14; -998/1000
Check failed for (fp64): alpha = -6.26433575125805; beta = -1.56608393781451; diff = 2.8421709430404e-14; -997/1000
Check failed for (fp64): alpha = -6.24548619533651; beta = -1.56137154883413; diff = 1.4210854715202e-14; -994/1000
Check failed for (fp64): alpha = -6.23291982472215; beta = -1.55822995618054; diff = 1.4210854715202e-14; -992/1000
Check failed for (fp64): alpha = -6.22035345410779; beta = -1.55508836352695; diff = 7.105427357601e-15; -990/1000
Check failed for (fp64): alpha = -6.18893752757189; beta = -1.54723438189297; diff = 7.105427357601e-15; -985/1000
Check failed for (fp64): alpha = -6.17637115695753; beta = -1.54409278923938; diff = 7.105427357601e-15; -983/1000
Check failed for (fp64): alpha = -6.15123841572882; beta = -1.5378096039322; diff = 3.5527136788005e-15; -979/1000
Check failed for (fp64): alpha = -6.14495523042164; beta = -1.53623880760541; diff = 3.5527136788005e-15; -978/1000
Check failed for (fp64): alpha = -6.13867204511446; beta = -1.53466801127861; diff = 7.105427357601e-15; -977/1000
Check failed for (fp64): alpha = -6.1261056745001; beta = -1.53152641862502; diff = 3.5527136788005e-15; -975/1000
Check failed for (fp64): alpha = -6.11353930388574; beta = -1.52838482597143; diff = 3.5527136788005e-15; -973/1000
Check failed for (fp64): alpha = -6.0946897479642; beta = -1.52367243699105; diff = 3.5527136788005e-15; -970/1000
Check failed for (fp64): alpha = -6.07584019204266; beta = -1.51896004801066; diff = 3.5527136788005e-15; -967/1000
Check failed for (fp64): alpha = -6.05070745081394; beta = -1.51267686270349; diff = 3.5527136788005e-15; -963/1000
Check failed for (fp64): alpha = -6.0318578948924; beta = -1.5079644737231; diff = 3.5527136788005e-15; -960/1000
Check failed for (fp64): alpha = -6.01929152427804; beta = -1.50482288106951; diff = 1.77635683940025e-15; -958/1000
Check failed for (fp64): alpha = -6.01300833897086; beta = -1.50325208474272; diff = 3.5527136788005e-15; -957/1000
Check failed for (fp64): alpha = -6.00672515366368; beta = -1.50168128841592; diff = 3.5527136788005e-15; -956/1000
Check failed for (fp64): alpha = -5.99415878304932; beta = -1.49853969576233; diff = 1.77635683940025e-15; -954/1000
Check failed for (fp64): alpha = -5.97530922712779; beta = -1.49382730678195; diff = 1.77635683940025e-15; -951/1000
Check failed for (fp64): alpha = -5.96902604182061; beta = -1.49225651045515; diff = 1.77635683940025e-15; -950/1000
Check failed for (fp64): alpha = -5.95645967120625; beta = -1.48911491780156; diff = 1.77635683940025e-15; -948/1000
Check failed for (fp64): alpha = -5.95017648589907; beta = -1.48754412147477; diff = 1.77635683940025e-15; -947/1000
Check failed for (fp64): alpha = -5.94389330059189; beta = -1.48597332514797; diff = 1.77635683940025e-15; -946/1000
Check failed for (fp64): alpha = -5.92504374467035; beta = -1.48126093616759; diff = 1.77635683940025e-15; -943/1000
Check failed for (fp64): alpha = -5.91876055936317; beta = -1.47969013984079; diff = 1.77635683940025e-15; -942/1000
Check failed for (fp64): alpha = -5.91247737405599; beta = -1.478119343514; diff = 1.77635683940025e-15; -941/1000
Check failed for (fp64): alpha = -5.89991100344163; beta = -1.47497775086041; diff = 1.77635683940025e-15; -939/1000
Check failed for (fp64): alpha = -5.88106144752009; beta = -1.47026536188002; diff = 1.77635683940025e-15; -936/1000
Check failed for (fp64): alpha = -5.86849507690573; beta = -1.46712376922643; diff = 1.77635683940025e-15; -934/1000
Check failed for (fp64): alpha = -5.86221189159855; beta = -1.46555297289964; diff = 1.77635683940025e-15; -933/1000
Check failed for (fp64): alpha = -5.85592870629137; beta = -1.46398217657284; diff = 1.77635683940025e-15; -932/1000
Check failed for (fp64): alpha = -5.8496455209842; beta = -1.46241138024605; diff = 1.77635683940025e-15; -931/1000
Check failed for (fp64): alpha = -5.84336233567702; beta = -1.46084058391925; diff = 3.5527136788005e-15; -930/1000
Check failed for (fp64): alpha = -5.83079596506266; beta = -1.45769899126566; diff = 1.77635683940025e-15; -928/1000
Check failed for (fp64): alpha = -5.80566322383394; beta = -1.45141580595848; diff = 1.77635683940025e-15; -924/1000
Check failed for (fp64): alpha = -5.79938003852676; beta = -1.44984500963169; diff = 1.77635683940025e-15; -923/1000
Check failed for (fp64): alpha = -5.79309685321958; beta = -1.44827421330489; diff = 3.5527136788005e-15; -922/1000
Check failed for (fp64): alpha = -5.7868136679124; beta = -1.4467034169781; diff = 1.77635683940025e-15; -921/1000
