Check failed for (fp64): alpha = -6.28318530717959; beta = -1.5707963267949; diff = 134843797118.5; -1000/1000
Check failed for (fp64): alpha = -6.27690212187241; beta = -1.5692255304681; diff = 2.8421709430404e-14; -999/1000
Check failed for (fp64): alpha = -6.26433575125805; beta = -1.56608393781451; diff = 7.105427357601e-15; -997/1000
Check failed for (fp64): alpha = -6.22035345410779; beta = -1.55508836352695; diff = 1.77635683940025e-15; -990/1000
Check failed for (fp64): alpha = -6.21407026880061; beta = -1.55351756720015; diff = 3.5527136788005e-15; -989/1000
Check failed for (fp64): alpha = -6.1261056745001; beta = -1.53152641862502; diff = 8.88178419700125e-16; -975/1000
Check failed for (fp64): alpha = -6.11353930388574; beta = -1.52838482597143; diff = 8.88178419700125e-16; -973/1000
Check failed for (fp64): alpha = -6.10097293327138; beta = -1.52524323331784; diff = 1.77635683940025e-15; -971/1000
Check failed for (fp64): alpha = -6.0946897479642; beta = -1.52367243699105; diff = 8.88178419700125e-16; -970/1000
Check failed for (fp64): alpha = -6.08212337734984; beta = -1.52053084433746; diff = 8.88178419700125e-16; -968/1000
Check failed for (fp64): alpha = -6.06955700673548; beta = -1.51738925168387; diff = 8.88178419700125e-16; -966/1000
Check failed for (fp64): alpha = -6.03814108019958; beta = -1.5095352700499; diff = 4.44089209850063e-16; -961/1000
Check failed for (fp64): alpha = -6.0318578948924; beta = -1.5079644737231; diff = 1.33226762955019e-15; -960/1000
Check failed for (fp64): alpha = -6.01929152427804; beta = -1.50482288106951; diff = 4.44089209850063e-16; -958/1000
Check failed for (fp64): alpha = -6.00672515366368; beta = -1.50168128841592; diff = 4.44089209850063e-16; -956/1000
Check failed for (fp64): alpha = -5.99415878304932; beta = -1.49853969576233; diff = 4.44089209850063e-16; -954/1000
Check failed for (fp64): alpha = -5.98787559774215; beta = -1.49696889943554; diff = 4.44089209850063e-16; -953/1000
Check failed for (fp64): alpha = -5.98159241243497; beta = -1.49539810310874; diff = 4.44089209850063e-16; -952/1000
Check failed for (fp64): alpha = -5.97530922712779; beta = -1.49382730678195; diff = 1.33226762955019e-15; -951/1000
Check failed for (fp64): alpha = -5.96902604182061; beta = -1.49225651045515; diff = 4.44089209850063e-16; -950/1000
