Check failed for (fp128): alpha = -6.283185307179586476925286766559005595e+00; beta = -1.570796326794896619231321691639751399e+00; diff = 2.076918743413931051412198531688038400e+34; -1000/1000
Check failed for (fp128): alpha = -6.276902121872406890448361479792446694e+00; beta = -1.569225530468101722612090369948111674e+00; diff = 1.262177448353618888658765704452457967e-29; -999/1000
Check failed for (fp128): alpha = -6.270618936565227303971436193025887793e+00; beta = -1.567654734141306825992859048256471948e+00; diff = 3.155443620884047221646914261131144919e-30; -998/1000
Check failed for (fp128): alpha = -6.251769380643688544540660332726210320e+00; beta = -1.562942345160922136135165083181552580e+00; diff = 3.944304526105059027058642826413931148e-31; -995/1000
Check failed for (fp128): alpha = -6.245486195336508958063735045959651420e+00; beta = -1.561371548834127239515933761489912855e+00; diff = 3.944304526105059027058642826413931148e-31; -994/1000
Check failed for (fp128): alpha = -6.226636639414970198632959185659974717e+00; beta = -1.556659159853742549658239796414993679e+00; diff = 1.972152263052529513529321413206965574e-31; -991/1000
Check failed for (fp128): alpha = -6.214070268800611025679108612126856916e+00; beta = -1.553517567200152756419777153031714229e+00; diff = 9.860761315262647567646607066034827871e-32; -989/1000
Check failed for (fp128): alpha = -6.207787083493431439202183325360298015e+00; beta = -1.551946770873357859800545831340074504e+00; diff = 9.860761315262647567646607066034827871e-32; -988/1000
Check failed for (fp128): alpha = -6.188937527571892679771407465060620542e+00; beta = -1.547234381892973169942851866265155135e+00; diff = 4.930380657631323783823303533017413935e-32; -985/1000
Check failed for (fp128): alpha = -6.176371156957533506817556891527502740e+00; beta = -1.544092789239383376704389222881875685e+00; diff = 4.930380657631323783823303533017413935e-32; -983/1000
Check failed for (fp128): alpha = -6.157521601035994747386781031227825267e+00; beta = -1.539380400258998686846695257806956317e+00; diff = 2.465190328815661891911651766508706968e-32; -980/1000
Check failed for (fp128): alpha = -6.126105674500096815002154597395029993e+00; beta = -1.531526418625024203750538649348757498e+00; diff = 2.465190328815661891911651766508706968e-32; -975/1000
Check failed for (fp128): alpha = -6.094689747964198882617528163562235489e+00; beta = -1.523672436991049720654382040890558872e+00; diff = 1.232595164407830945955825883254353484e-32; -970/1000
