Check failed for (fp64): alpha = -6.28318530717959; beta = -1.5707963267949; gamma = -0.785398163397448; diff = 1.23237080840177e-16; -1000/1000
Check failed for (fp64): alpha = -6.26433575125805; beta = -1.56608393781451; gamma = -0.783041968907256; diff = 1.58293517182884e-16; -997/1000
Check failed for (fp64): alpha = -6.25805256595087; beta = -1.56451314148772; gamma = -0.782256570743858; diff = 1.30104260698261e-16; -996/1000
Check failed for (fp64): alpha = -6.25176938064369; beta = -1.56294234516092; gamma = -0.781471172580461; diff = 1.63931368479808e-16; -995/1000
Check failed for (fp64): alpha = -6.24548619533651; beta = -1.56137154883413; gamma = -0.780685774417064; diff = 1.53523027623947e-16; -994/1000
Check failed for (fp64): alpha = -6.22663663941497; beta = -1.55665915985374; gamma = -0.778329579926871; diff = 1.35308431126191e-16; -991/1000
Check failed for (fp64): alpha = -6.22035345410779; beta = -1.55508836352695; gamma = -0.777544181763474; diff = 1.14491749414469e-16; -990/1000
Check failed for (fp64): alpha = -6.20778708349343; beta = -1.55194677087336; gamma = -0.775973385436679; diff = 1.47451495458029e-16; -988/1000
Check failed for (fp64): alpha = -6.20150389818625; beta = -1.55037597454656; gamma = -0.775187987273281; diff = 2.0122792321331e-16; -987/1000
Check failed for (fp64): alpha = -6.19522071287907; beta = -1.54880517821977; gamma = -0.774402589109884; diff = 1.73472347597681e-16; -986/1000
Check failed for (fp64): alpha = -6.18893752757189; beta = -1.54723438189297; gamma = -0.773617190946487; diff = 1.83880688453542e-16; -985/1000
Check failed for (fp64): alpha = -6.17637115695753; beta = -1.54409278923938; gamma = -0.772046394619692; diff = 1.17961196366423e-16; -983/1000
Check failed for (fp64): alpha = -6.17008797165035; beta = -1.54252199291259; gamma = -0.771260996456294; diff = 1.73472347597681e-16; -982/1000
Check failed for (fp64): alpha = -6.16380478634317; beta = -1.54095119658579; gamma = -0.770475598292897; diff = 1.11022302462516e-16; -981/1000
Check failed for (fp64): alpha = -6.15123841572882; beta = -1.5378096039322; gamma = -0.768904801966102; diff = 1.70002900645727e-16; -979/1000
Check failed for (fp64): alpha = -6.14495523042164; beta = -1.53623880760541; gamma = -0.768119403802704; diff = 1.73472347597681e-16; -978/1000
Check failed for (fp64): alpha = -6.13867204511446; beta = -1.53466801127861; gamma = -0.767334005639307; diff = 1.80411241501588e-16; -977/1000
Check failed for (fp64): alpha = -6.13238885980728; beta = -1.53309721495182; gamma = -0.766548607475909; diff = 1.49186218934005e-16; -976/1000
Check failed for (fp64): alpha = -6.11982248919292; beta = -1.52995562229823; gamma = -0.764977811149115; diff = 1.42247325030098e-16; -974/1000
Check failed for (fp64): alpha = -6.11353930388574; beta = -1.52838482597143; gamma = -0.764192412985717; diff = 1.83880688453542e-16; -973/1000
Check failed for (fp64): alpha = -6.10725611857856; beta = -1.52681402964464; gamma = -0.76340701482232; diff = 1.2490009027033e-16; -972/1000
Check failed for (fp64): alpha = -6.0946897479642; beta = -1.52367243699105; gamma = -0.761836218495525; diff = 1.31838984174237e-16; -970/1000
Check failed for (fp64): alpha = -6.08840656265702; beta = -1.52210164066425; gamma = -0.761050820332127; diff = 2.08166817117217e-16; -969/1000
Check failed for (fp64): alpha = -6.08212337734984; beta = -1.52053084433746; gamma = -0.76026542216873; diff = 1.80411241501588e-16; -968/1000
