Check failed for (fp32): alpha = -6.283185; beta = -1.570796; diff = 1614839; -1000/1000
Check failed for (fp32): alpha = -6.276902; beta = -1.569226; diff = 0.003860474; -999/1000
Check failed for (fp32): alpha = -6.270619; beta = -1.567655; diff = 0.0009689331; -998/1000
Check failed for (fp32): alpha = -6.258053; beta = -1.564513; diff = 1.907349e-06; -996/1000
Check failed for (fp32): alpha = -6.25177; beta = -1.562942; diff = 8.010864e-05; -995/1000
Check failed for (fp32): alpha = -6.245486; beta = -1.561372; diff = 0.0001068115; -994/1000
Check failed for (fp32): alpha = -6.239203; beta = -1.559801; diff = 3.814697e-05; -993/1000
Check failed for (fp32): alpha = -6.23292; beta = -1.55823; diff = 9.536743e-07; -992/1000
Check failed for (fp32): alpha = -6.220354; beta = -1.555088; diff = 2.002716e-05; -990/1000
Check failed for (fp32): alpha = -6.214071; beta = -1.553518; diff = 1.525879e-05; -989/1000
Check failed for (fp32): alpha = -6.207787; beta = -1.551947; diff = 1.335144e-05; -988/1000
Check failed for (fp32): alpha = -6.201504; beta = -1.550376; diff = 1.144409e-05; -987/1000
Check failed for (fp32): alpha = -6.195221; beta = -1.548805; diff = 9.536743e-07; -986/1000
Check failed for (fp32): alpha = -6.188938; beta = -1.547234; diff = 8.583069e-06; -985/1000
Check failed for (fp32): alpha = -6.182655; beta = -1.545664; diff = 7.629395e-06; -984/1000
Check failed for (fp32): alpha = -6.176371; beta = -1.544093; diff = 6.198883e-06; -983/1000
Check failed for (fp32): alpha = -6.170088; beta = -1.542522; diff = 5.722046e-06; -982/1000
Check failed for (fp32): alpha = -6.157522; beta = -1.53938; diff = 4.768372e-06; -980/1000
Check failed for (fp32): alpha = -6.151238; beta = -1.53781; diff = 9.059906e-06; -979/1000
Check failed for (fp32): alpha = -6.144955; beta = -1.536239; diff = 4.291534e-06; -978/1000
Check failed for (fp32): alpha = -6.138672; beta = -1.534668; diff = 3.814697e-06; -977/1000
Check failed for (fp32): alpha = -6.132389; beta = -1.533097; diff = 4.768372e-07; -976/1000
Check failed for (fp32): alpha = -6.126106; beta = -1.531526; diff = 2.861023e-06; -975/1000
Check failed for (fp32): alpha = -6.119823; beta = -1.529956; diff = 5.245209e-06; -974/1000
Check failed for (fp32): alpha = -6.113539; beta = -1.528385; diff = 2.861023e-06; -973/1000
Check failed for (fp32): alpha = -6.107256; beta = -1.526814; diff = 2.384186e-06; -972/1000
Check failed for (fp32): alpha = -6.09469; beta = -1.523673; diff = 4.768372e-07; -970/1000
Check failed for (fp32): alpha = -6.088407; beta = -1.522102; diff = 4.768372e-06; -969/1000
Check failed for (fp32): alpha = -6.082123; beta = -1.520531; diff = 2.145767e-06; -968/1000
Check failed for (fp32): alpha = -6.07584; beta = -1.51896; diff = 1.66893e-06; -967/1000
Check failed for (fp32): alpha = -6.063274; beta = -1.515818; diff = 1.430511e-06; -965/1000
Check failed for (fp32): alpha = -6.056991; beta = -1.514248; diff = 3.33786e-06; -964/1000
