Check failed for (fp128): alpha = -6.264335751258047717494510906259328122e+00; beta = -1.566083937814511929373627726564832031e+00; diff = 1.925929944387235853055977942584927319e-34; -997/1000
Check failed for (fp128): alpha = -6.239203010029329371586809759193092519e+00; beta = -1.559800752507332342896702439798273130e+00; diff = 1.925929944387235853055977942584927319e-34; -993/1000
Check failed for (fp128): alpha = -6.170087971650353920340631604760943839e+00; beta = -1.542521992912588480085157901190235960e+00; diff = 1.925929944387235853055977942584927319e-34; -982/1000
Check failed for (fp128): alpha = -6.132388859807276401479079884161588894e+00; beta = -1.533097214951819100369769971040397223e+00; diff = 1.925929944387235853055977942584927319e-34; -976/1000
Check failed for (fp128): alpha = -6.082123377349839709663677590029117687e+00; beta = -1.520530844337459927415919397507279422e+00; diff = 1.925929944387235853055977942584927319e-34; -968/1000
Check failed for (fp128): alpha = -6.006725153663684671940574148830409336e+00; beta = -1.501681288415921167985143537207602334e+00; diff = 1.925929944387235853055977942584927319e-34; -956/1000
Check failed for (fp128): alpha = -5.912477374055990874786694847332024283e+00; beta = -1.478119343513997718696673711833006071e+00; diff = 1.925929944387235853055977942584927319e-34; -941/1000
Check failed for (fp128): alpha = -5.887344632827272528878993700265788680e+00; beta = -1.471836158206818132219748425066447170e+00; diff = 1.925929944387235853055977942584927319e-34; -937/1000
Check failed for (fp128): alpha = -5.723981814840603280478936244335254177e+00; beta = -1.430995453710150820119734061083813544e+00; diff = 1.925929944387235853055977942584927319e-34; -911/1000
Check failed for (fp128): alpha = -5.617167664618550310371206369303751322e+00; beta = -1.404291916154637577592801592325937831e+00; diff = 2.888894916580853779583966913877390978e-34; -894/1000
Check failed for (fp128): alpha = -5.560618996853934032078878788404719674e+00; beta = -1.390154749213483508019719697101179919e+00; diff = 1.925929944387235853055977942584927319e-34; -885/1000
Check failed for (fp128): alpha = -5.466371217246240234924999486906334621e+00; beta = -1.366592804311560058731249871726583655e+00; diff = 1.925929944387235853055977942584927319e-34; -870/1000
Check failed for (fp128): alpha = -5.453804846631881061971148913373216819e+00; beta = -1.363451211657970265492787228343304205e+00; diff = 1.925929944387235853055977942584927319e-34; -868/1000
Check failed for (fp128): alpha = -5.372123437638546437771120185407949568e+00; beta = -1.343030859409636609442780046351987392e+00; diff = 1.925929944387235853055977942584927319e-34; -855/1000
Check failed for (fp128): alpha = -5.334424325795468918909568464808595393e+00; beta = -1.333606081448867229727392116202148848e+00; diff = 1.925929944387235853055977942584927319e-34; -849/1000
Check failed for (fp128): alpha = -5.277875658030852640617240883909564515e+00; beta = -1.319468914507713160154310220977391129e+00; diff = 2.407412430484044816319972428231159148e-34; -840/1000
Check failed for (fp128): alpha = -5.265309287416493467663390310376446713e+00; beta = -1.316327321854123366915847577594111678e+00; diff = 2.888894916580853779583966913877390978e-34; -838/1000
Check failed for (fp128): alpha = -5.252742916802134294709539736843328912e+00; beta = -1.313185729200533573677384934210832228e+00; diff = 3.370377402677662742847961399523622807e-34; -836/1000
Check failed for (fp128): alpha = -5.183627878423158843463361582411179462e+00; beta = -1.295906969605789710865840395602794865e+00; diff = 2.648153673532449297951969671054275063e-34; -825/1000
Check failed for (fp128): alpha = -5.171061507808799670509511008878061660e+00; beta = -1.292765376952199917627377752219515415e+00; diff = 2.407412430484044816319972428231159148e-34; -823/1000
Check failed for (fp128): alpha = -5.158495137194440497555660435344943858e+00; beta = -1.289623784298610124388915108836235965e+00; diff = 2.768524295056651538767968292465833020e-34; -821/1000
Check failed for (fp128): alpha = -5.114512840044183392217183427979030012e+00; beta = -1.278628210011045848054295856994757503e+00; diff = 2.527783052008247057135971049642717106e-34; -814/1000
Check failed for (fp128): alpha = -5.076813728201105873355631707379676607e+00; beta = -1.269203432050276468338907926844919152e+00; diff = 2.527783052008247057135971049642717106e-34; -808/1000
Check failed for (fp128): alpha = -5.064247357586746700401781133846558805e+00; beta = -1.266061839396686675100445283461639701e+00; diff = 2.648153673532449297951969671054275063e-34; -806/1000
Check failed for (fp128): alpha = -5.020265060436489595063304126480644959e+00; beta = -1.255066265109122398765826031620161240e+00; diff = 2.437505085865095376523972083584048638e-34; -799/1000
Check failed for (fp128): alpha = -5.007698689822130422109453552947527157e+00; beta = -1.251924672455532605527363388236881789e+00; diff = 2.166671187435640334687975185408043233e-34; -797/1000
Check failed for (fp128): alpha = -4.995132319207771249155602979414409356e+00; beta = -1.248783079801942812288900744853602339e+00; diff = 2.317134464340893135707973462172490680e-34; -795/1000
Check failed for (fp128): alpha = -4.982565948593412076201752405881291554e+00; beta = -1.245641487148353019050438101470322888e+00; diff = 2.076393221292488654075976219349374765e-34; -793/1000
Check failed for (fp128): alpha = -4.969999577979052903247901832348173752e+00; beta = -1.242499894494763225811975458087043438e+00; diff = 1.925929944387235853055977942584927319e-34; -791/1000
Check failed for (fp128): alpha = -4.913450910214436624955574251449142104e+00; beta = -1.228362727553609156238893562862285526e+00; diff = 2.046300565911438093871976563996485276e-34; -782/1000
Check failed for (fp128): alpha = -4.900884539600077452001723677916024302e+00; beta = -1.225221134900019363000430919479006076e+00; diff = 2.046300565911438093871976563996485276e-34; -780/1000
Check failed for (fp128): alpha = -4.875751798371359106094022530849788699e+00; beta = -1.218937949592839776523505632712447175e+00; diff = 2.046300565911438093871976563996485276e-34; -776/1000
Check failed for (fp128): alpha = -4.863185427756999933140171957316670897e+00; beta = -1.215796356939249983285042989329167724e+00; diff = 1.925929944387235853055977942584927319e-34; -774/1000
Check failed for (fp128): alpha = -4.819203130606742827801694949950757051e+00; beta = -1.204800782651685706950423737487689263e+00; diff = 2.046300565911438093871976563996485276e-34; -767/1000
Check failed for (fp128): alpha = -4.373096973796992187939999589525068159e+00; beta = -1.093274243449248046984999897381267040e+00; diff = 1.925929944387235853055977942584927319e-34; -696/1000
Check failed for (fp128): alpha = -4.178318229274425007155315699761739152e+00; beta = -1.044579557318606251788828924940434788e+00; diff = 2.317134464340893135707973462172490680e-34; -665/1000
Check failed for (fp128): alpha = -4.096636820281090382955286971796471901e+00; beta = -1.024159205070272595738821742949117975e+00; diff = 2.287041808959842575503973806819601191e-34; -652/1000
Check failed for (fp128): alpha = -4.090353634973910796478361685029913000e+00; beta = -1.022588408743477699119590421257478250e+00; diff = 1.925929944387235853055977942584927319e-34; -651/1000
Check failed for (fp128): alpha = -4.040088152516474104662959390897440252e+00; beta = -1.010022038129118526165739847724360063e+00; diff = 2.166671187435640334687975185408043233e-34; -643/1000
Check failed for (fp128): alpha = -4.027521781902114931709108817364322451e+00; beta = -1.006880445475528732927277204341080613e+00; diff = 1.925929944387235853055977942584927319e-34; -641/1000
Check failed for (fp128): alpha = -4.021238596594935345232183530597763550e+00; beta = -1.005309649148733836308045882649440887e+00; diff = 2.046300565911438093871976563996485276e-34; -640/1000
Check failed for (fp128): alpha = -3.989822670059037412847557096764968661e+00; beta = -9.974556675147593532118892741912421652e-01; diff = 1.925929944387235853055977942584927319e-34; -635/1000
Check failed for (fp128): alpha = -3.939557187601600721032154802632496298e+00; beta = -9.848892969004001802580387006581240746e-01; diff = 2.888894916580853779583966913877390978e-34; -627/1000
Check failed for (fp128): alpha = -3.926990816987241548078304229099378497e+00; beta = -9.817477042468103870195760572748446242e-01; diff = 2.166671187435640334687975185408043233e-34; -625/1000
Check failed for (fp128): alpha = -3.920707631680061961601378942332819596e+00; beta = -9.801769079200154904003447355832048990e-01; diff = 2.648153673532449297951969671054275063e-34; -624/1000
Check failed for (fp128): alpha = -3.901858075758523202170603082033142508e+00; beta = -9.754645189396308005426507705082856271e-01; diff = 2.166671187435640334687975185408043233e-34; -621/1000
Check failed for (fp128): alpha = -3.895574890451343615693677795266583608e+00; beta = -9.738937226128359039234194488166459019e-01; diff = 1.925929944387235853055977942584927319e-34; -620/1000
Check failed for (fp128): alpha = -3.826459852072368164447499640834434543e+00; beta = -9.566149630180920411118749102086086357e-01; diff = 1.925929944387235853055977942584927319e-34; -609/1000
Check failed for (fp128): alpha = -3.813893481458008991493649067301316741e+00; beta = -9.534733703645022478734122668253291853e-01; diff = 1.925929944387235853055977942584927319e-34; -607/1000
Check failed for (fp128): alpha = -3.732212072464674367293620339336049105e+00; beta = -9.330530181161685918234050848340122762e-01; diff = 1.925929944387235853055977942584927319e-34; -594/1000
Check failed for (fp128): alpha = -3.663097034085698916047442184903900425e+00; beta = -9.157742585214247290118605462259751063e-01; diff = 1.925929944387235853055977942584927319e-34; -583/1000
Check failed for (fp128): alpha = -3.581415625092364291847413456938632789e+00; beta = -8.953539062730910729618533642346581971e-01; diff = 2.407412430484044816319972428231159148e-34; -570/1000
Check failed for (fp128): alpha = -3.575132439785184705370488170172073888e+00; beta = -8.937831099462961763426220425430184719e-01; diff = 2.407412430484044816319972428231159148e-34; -569/1000
Check failed for (fp128): alpha = -3.568849254478005118893562883405514987e+00; beta = -8.922123136195012797233907208513787467e-01; diff = 1.925929944387235853055977942584927319e-34; -568/1000
Check failed for (fp128): alpha = -3.562566069170825532416637596638956086e+00; beta = -8.906415172927063831041593991597390215e-01; diff = 1.925929944387235853055977942584927319e-34; -567/1000
Check failed for (fp128): alpha = -3.512300586713388840601235302506484109e+00; beta = -8.780751466783472101503088256266210273e-01; diff = 1.925929944387235853055977942584927319e-34; -559/1000
Check failed for (fp128): alpha = -3.468318289563131735262758295140571033e+00; beta = -8.670795723907829338156895737851427582e-01; diff = 1.925929944387235853055977942584927319e-34; -552/1000
Check failed for (fp128): alpha = -3.462035104255952148785833008374012132e+00; beta = -8.655087760639880371964582520935030330e-01; diff = 3.851859888774471706111955885169854637e-34; -551/1000
Check failed for (fp128): alpha = -3.455751918948772562308907721607453231e+00; beta = -8.639379797371931405772269304018633078e-01; diff = 1.925929944387235853055977942584927319e-34; -550/1000
Check failed for (fp128): alpha = -3.392920065876976697539654853941863067e+00; beta = -8.482300164692441743849137134854657669e-01; diff = 1.925929944387235853055977942584927319e-34; -540/1000
Check failed for (fp128): alpha = -3.374070509955437938108878993642185980e+00; beta = -8.435176274888594845272197484105464950e-01; diff = 1.925929944387235853055977942584927319e-34; -537/1000
Check failed for (fp128): alpha = -3.367787324648258351631953706875627079e+00; beta = -8.419468311620645879079884267189067698e-01; diff = 3.851859888774471706111955885169854637e-34; -536/1000
Check failed for (fp128): alpha = -3.361504139341078765155028420109068178e+00; beta = -8.403760348352696912887571050272670445e-01; diff = 1.925929944387235853055977942584927319e-34; -535/1000
Check failed for (fp128): alpha = -3.355220954033899178678103133342509277e+00; beta = -8.388052385084747946695257833356273193e-01; diff = 1.925929944387235853055977942584927319e-34; -534/1000
Check failed for (fp128): alpha = -3.348937768726719592201177846575949606e+00; beta = -8.372344421816798980502944616439874015e-01; diff = 1.925929944387235853055977942584927319e-34; -533/1000
Check failed for (fp128): alpha = -3.311238656883642073339626125976595816e+00; beta = -8.278096642209105183349065314941489540e-01; diff = 1.925929944387235853055977942584927319e-34; -527/1000
Check failed for (fp128): alpha = -3.298672286269282900385775552443478014e+00; beta = -8.246680715673207250964438881108695036e-01; diff = 3.851859888774471706111955885169854637e-34; -525/1000
Check failed for (fp128): alpha = -3.286105915654923727431924978910359828e+00; beta = -8.215264789137309318579812447275899569e-01; diff = 2.888894916580853779583966913877390978e-34; -523/1000
Check failed for (fp128): alpha = -3.279822730347744140954999692143800927e+00; beta = -8.199556825869360352387499230359502317e-01; diff = 2.888894916580853779583966913877390978e-34; -522/1000
Check failed for (fp128): alpha = -3.267256359733384968001149118610683125e+00; beta = -8.168140899333462420002872796526707813e-01; diff = 1.925929944387235853055977942584927319e-34; -520/1000
Check failed for (fp128): alpha = -3.260973174426205381524223831844124224e+00; beta = -8.152432936065513453810559579610310561e-01; diff = 1.925929944387235853055977942584927319e-34; -519/1000
Check failed for (fp128): alpha = -3.254689989119025795047298545077564553e+00; beta = -8.136724972797564487618246362693911383e-01; diff = 1.925929944387235853055977942584927319e-34; -518/1000
Check failed for (fp128): alpha = -3.242123618504666622093447971544446751e+00; beta = -8.105309046261666555233619928861116879e-01; diff = 1.925929944387235853055977942584927319e-34; -516/1000
Check failed for (fp128): alpha = -3.198141321354409516754970964178534060e+00; beta = -7.995353303386023791887427410446335151e-01; diff = 1.925929944387235853055977942584927319e-34; -509/1000
Check failed for (fp128): alpha = -3.191858136047229930278045677411975160e+00; beta = -7.979645340118074825695114193529937899e-01; diff = 1.925929944387235853055977942584927319e-34; -508/1000
Check failed for (fp128): alpha = -3.185574950740050343801120390645415488e+00; beta = -7.963937376850125859502800976613538721e-01; diff = 1.925929944387235853055977942584927319e-34; -507/1000
Check failed for (fp128): alpha = -3.160442209511331997893419243579179885e+00; beta = -7.901105523778329994733548108947949713e-01; diff = 1.925929944387235853055977942584927319e-34; -503/1000
Check failed for (fp128): alpha = -3.116459912361074892554942236213266809e+00; beta = -7.791149780902687231387355590533167022e-01; diff = 1.925929944387235853055977942584927319e-34; -496/1000
Check failed for (fp128): alpha = -3.110176727053895306078016949446707908e+00; beta = -7.775441817634738265195042373616769770e-01; diff = 1.925929944387235853055977942584927319e-34; -495/1000
Check failed for (fp128): alpha = -3.097610356439536133124166375913589721e+00; beta = -7.744025891098840332810415939783974303e-01; diff = 3.370377402677662742847961399523622807e-34; -493/1000
Check failed for (fp128): alpha = -3.091327171132356546647241089147030821e+00; beta = -7.728317927830891366618102722867577051e-01; diff = 2.407412430484044816319972428231159148e-34; -492/1000
Check failed for (fp128): alpha = -3.085043985825176960170315802380471920e+00; beta = -7.712609964562942400425789505951179799e-01; diff = 1.925929944387235853055977942584927319e-34; -491/1000
Check failed for (fp128): alpha = -3.022212132753381095401062934714881756e+00; beta = -7.555530331883452738502657336787204390e-01; diff = 2.407412430484044816319972428231159148e-34; -481/1000
Check failed for (fp128): alpha = -3.009645762139021922447212361181763569e+00; beta = -7.524114405347554806118030902954408923e-01; diff = 1.925929944387235853055977942584927319e-34; -479/1000
Check failed for (fp128): alpha = -3.003362576831842335970287074415204668e+00; beta = -7.508406442079605839925717686038011671e-01; diff = 3.370377402677662742847961399523622807e-34; -478/1000
Check failed for (fp128): alpha = -2.959380279681585230631810067049291592e+00; beta = -7.398450699203963076579525167623228980e-01; diff = 1.925929944387235853055977942584927319e-34; -471/1000
