Check failed for (fp32): alpha = -5.793097; diff1 = 5.960464e-08; diff2 = 0.9414076; -922/1000
Check failed for (fp32): alpha = -5.654867; diff1 = 5.960464e-08; diff2 = 1.175571; -900/1000
Check failed for (fp32): alpha = -5.610885; diff1 = 5.960464e-08; diff2 = 1.245575; -893/1000
Check failed for (fp32): alpha = -5.585752; diff1 = 5.960464e-08; diff2 = 1.284505; -889/1000
Check failed for (fp32): alpha = -5.554336; diff1 = 5.960464e-08; diff2 = 1.332023; -884/1000
Check failed for (fp32): alpha = -5.54177; diff1 = 5.960464e-08; diff2 = 1.350665; -882/1000
Check failed for (fp32): alpha = -5.529203; diff1 = 5.960464e-08; diff2 = 1.369094; -880/1000
Check failed for (fp32): alpha = -5.52292; diff1 = 5.960464e-08; diff2 = 1.378227; -879/1000
Check failed for (fp32): alpha = -5.516637; diff1 = 5.960464e-08; diff2 = 1.387306; -878/1000
Check failed for (fp32): alpha = -5.510354; diff1 = 5.960464e-08; diff2 = 1.396331; -877/1000
Check failed for (fp32): alpha = -5.472654; diff1 = 5.960464e-08; diff2 = 1.449306; -871/1000
Check failed for (fp32): alpha = -5.441238; diff1 = 5.960464e-08; diff2 = 1.491882; -866/1000
Check failed for (fp32): alpha = -5.416106; diff1 = 5.960464e-08; diff2 = 1.524885; -862/1000
Check failed for (fp32): alpha = -5.378407; diff1 = 5.960464e-08; diff2 = 1.572576; -856/1000
Check failed for (fp32): alpha = -5.372124; diff1 = 5.960464e-08; diff2 = 1.58031; -855/1000
Check failed for (fp32): alpha = -5.36584; diff1 = 5.960464e-08; diff2 = 1.587981; -854/1000
Check failed for (fp32): alpha = -5.359557; diff1 = 5.960464e-08; diff2 = 1.595589; -853/1000
Check failed for (fp32): alpha = -5.346991; diff1 = 5.960464e-08; diff2 = 1.610615; -851/1000
Check failed for (fp32): alpha = -5.328141; diff1 = 5.960464e-08; diff2 = 1.632679; -848/1000
Check failed for (fp32): alpha = -5.296725; diff1 = 5.960464e-08; diff2 = 1.668157; -843/1000
Check failed for (fp32): alpha = -5.277875; diff1 = 5.960464e-08; diff2 = 1.688656; -840/1000
Check failed for (fp32): alpha = -5.271593; diff1 = 5.960464e-08; diff2 = 1.695356; -839/1000
Check failed for (fp32): alpha = -5.227611; diff1 = 5.960464e-08; diff2 = 1.740367; -832/1000
Check failed for (fp32): alpha = -5.215044; diff1 = 5.960464e-08; diff2 = 1.752613; -830/1000
Check failed for (fp32): alpha = -5.208761; diff1 = 5.960464e-08; diff2 = 1.758632; -829/1000
Check failed for (fp32): alpha = -5.202477; diff1 = 5.960464e-08; diff2 = 1.764582; -828/1000
Check failed for (fp32): alpha = -5.189911; diff1 = 5.960464e-08; diff2 = 1.776273; -826/1000
Check failed for (fp32): alpha = -5.177345; diff1 = 5.960464e-08; diff2 = 1.787683; -824/1000
Check failed for (fp32): alpha = -5.171062; diff1 = 5.960464e-08; diff2 = 1.793282; -823/1000
Check failed for (fp32): alpha = -5.152212; diff1 = 5.960464e-08; diff2 = 1.809654; -820/1000
Check failed for (fp32): alpha = -5.133362; diff1 = 5.960464e-08; diff2 = 1.825383; -817/1000
Check failed for (fp32): alpha = -5.120796; diff1 = 5.960464e-08; diff2 = 1.835509; -815/1000
Check failed for (fp32): alpha = -5.10823; diff1 = 5.960464e-08; diff2 = 1.845345; -813/1000
Check failed for (fp32): alpha = -5.08938; diff1 = 5.960464e-08; diff2 = 1.859553; -810/1000
Check failed for (fp32): alpha = -5.076814; diff1 = 5.960464e-08; diff2 = 1.868658; -808/1000
Check failed for (fp32): alpha = -5.064248; diff1 = 5.960464e-08; diff2 = 1.877468; -806/1000
Check failed for (fp32): alpha = -5.057964; diff1 = 5.960464e-08; diff2 = 1.881762; -805/1000
Check failed for (fp32): alpha = -5.039114; diff1 = 5.960464e-08; diff2 = 1.894197; -802/1000
Check failed for (fp32): alpha = -5.032832; diff1 = 5.960464e-08; diff2 = 1.898192; -801/1000
Check failed for (fp32): alpha = -5.013982; diff1 = 5.960464e-08; diff2 = 1.909729; -798/1000
Check failed for (fp32): alpha = -5.007699; diff1 = 5.960464e-08; diff2 = 1.913424; -797/1000
Check failed for (fp32): alpha = -5.001416; diff1 = 5.960464e-08; diff2 = 1.917043; -796/1000
Check failed for (fp32): alpha = -4.995132; diff1 = 5.960464e-08; diff2 = 1.920587; -795/1000
Check failed for (fp32): alpha = -4.982566; diff1 = 1.192093e-07; diff2 = 1.927447; -793/1000
Check failed for (fp32): alpha = -4.963717; diff1 = 5.960464e-08; diff2 = 1.937166; -790/1000
Check failed for (fp32): alpha = -4.932301; diff1 = 5.960464e-08; diff2 = 1.951833; -785/1000
Check failed for (fp32): alpha = -4.926017; diff1 = 5.960464e-08; diff2 = 1.954536; -784/1000
Check failed for (fp32): alpha = -4.919734; diff1 = 5.960464e-08; diff2 = 1.957162; -783/1000
Check failed for (fp32): alpha = -4.888318; diff1 = 5.960464e-08; diff2 = 1.969129; -778/1000
Check failed for (fp32): alpha = -4.875752; diff1 = 5.960464e-08; diff2 = 1.973372; -776/1000
Check failed for (fp32): alpha = -4.869469; diff1 = 5.960464e-08; diff2 = 1.975377; -775/1000
Check failed for (fp32): alpha = -4.863185; diff1 = 5.960464e-08; diff2 = 1.977304; -774/1000
Check failed for (fp32): alpha = -4.856903; diff1 = 5.960464e-08; diff2 = 1.979152; -773/1000
Check failed for (fp32): alpha = -4.844336; diff1 = 5.960464e-08; diff2 = 1.982615; -771/1000
Check failed for (fp32): alpha = -4.838053; diff1 = 1.192093e-07; diff2 = 1.984229; -770/1000
Check failed for (fp32): alpha = -4.819203; diff1 = 5.960464e-08; diff2 = 1.988601; -767/1000
Check failed for (fp32): alpha = -4.800354; diff1 = 5.960464e-08; diff2 = 1.992267; -764/1000
Check failed for (fp32): alpha = -4.775221; diff1 = 5.960464e-08; diff2 = 1.996053; -760/1000
Check failed for (fp32): alpha = -4.756371; diff1 = 5.960464e-08; diff2 = 1.998066; -757/1000
Check failed for (fp32): alpha = -4.750088; diff1 = 5.960464e-08; diff2 = 1.998579; -756/1000
Check failed for (fp32): alpha = -4.743805; diff1 = 5.960464e-08; diff2 = 1.999013; -755/1000
Check failed for (fp32): alpha = -4.737522; diff1 = 5.960464e-08; diff2 = 1.999368; -754/1000
Check failed for (fp32): alpha = -4.731239; diff1 = 1.192093e-07; diff2 = 1.999645; -753/1000
Check failed for (fp32): alpha = -4.724956; diff1 = 5.960464e-08; diff2 = 1.999842; -752/1000
Check failed for (fp32): alpha = -4.718672; diff1 = 5.960464e-08; diff2 = 1.999961; -751/1000
Check failed for (fp32): alpha = -4.706106; diff1 = 5.960464e-08; diff2 = 1.999961; -749/1000
Check failed for (fp32): alpha = -4.699823; diff1 = 5.960464e-08; diff2 = 1.999842; -748/1000
Check failed for (fp32): alpha = -4.69354; diff1 = 5.960464e-08; diff2 = 1.999645; -747/1000
Check failed for (fp32): alpha = -4.680973; diff1 = 5.960464e-08; diff2 = 1.999013; -745/1000
Check failed for (fp32): alpha = -4.668406; diff1 = 5.960464e-08; diff2 = 1.998066; -743/1000
Check failed for (fp32): alpha = -4.662124; diff1 = 5.960464e-08; diff2 = 1.997474; -742/1000
Check failed for (fp32): alpha = -4.649557; diff1 = 5.960464e-08; diff2 = 1.996053; -740/1000
Check failed for (fp32): alpha = -4.643274; diff1 = 5.960464e-08; diff2 = 1.995225; -739/1000
