Check failed for (fp128): alpha = -5.120796025351362978694108714745588913e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 7.942957812695612275087547200389525280e-01; -815/1000
Check failed for (fp128): alpha = -4.951150022057514143817125972048496279e+00; diff1 = 2.407412430484044816319972428231159148e-34; diff2 = 4.729979940474493677834094011297194738e-01; -788/1000
Check failed for (fp128): alpha = -4.844335871835461173709396097016993425e+00; diff1 = 4.333342374871280669375950370816086467e-34; diff2 = 2.631287181845650071383585603709530843e-01; -771/1000
Check failed for (fp128): alpha = -4.825486315913922414278620236717315952e+00; diff1 = 2.648153673532449297951969671054275063e-34; diff2 = 2.257127697469633742552149976079586886e-01; -768/1000
Check failed for (fp128): alpha = -4.819203130606742827801694949950757051e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 2.132223085505198277946445558347217046e-01; -767/1000
Check failed for (fp128): alpha = -4.806636759992383654847844376417639249e+00; diff1 = 5.657419211637505318351935206343223998e-34; diff2 = 1.882166266370286369465336977709520024e-01; -765/1000
Check failed for (fp128): alpha = -4.800353574685204068370919089651080349e+00; diff1 = 3.250006781153460502031962778112064850e-34; diff2 = 1.757023931014863517045574886959595297e-01; -764/1000
Check failed for (fp128): alpha = -4.794070389378024481893993802884520677e+00; diff1 = 2.527783052008247057135971049642717106e-34; diff2 = 1.631812231363151048563158314529212842e-01; -763/1000
Check failed for (fp128): alpha = -4.787787204070844895417068516117961776e+00; diff1 = 5.898160454685909799983932449166339913e-34; diff2 = 1.506536110558654443299760377880389051e-01; -762/1000
Check failed for (fp128): alpha = -4.781504018763665308940143229351402876e+00; diff1 = 9.629649721936179265279889712924636593e-34; diff2 = 1.381200514288115985773082000107465547e-01; -761/1000
Check failed for (fp128): alpha = -4.775220833456485722463217942584843975e+00; diff1 = 8.305572885169954616303904877397499061e-34; diff2 = 1.255810390586267521523564491312606136e-01; -760/1000
