Check failed for (fp128): alpha = -6.019291524278043844894424722363527138e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.930763277666547768533981484910548829e+00; -958/1000
Check failed for (fp128): alpha = -5.931326929977529634217470707631700986e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.877467715307748170260262479608884110e+00; -944/1000
Check failed for (fp128): alpha = -5.925043744670350047740545420865142085e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.873099773496384688308770782323701349e+00; -943/1000
Check failed for (fp128): alpha = -5.648583591154448242755832803136546597e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.610615771422243903890607612705494269e+00; -899/1000
Check failed for (fp128): alpha = -3.436902363027233802878131861307776144e+00; diff1 = 1.913424103117660969917457522029223940e+00; diff2 = 1.925929944387235853055977942584927319e-34; -547/1000
Check failed for (fp128): alpha = -3.342654583419540005724252559809390705e+00; diff1 = 1.959710104768493731429586819000031134e+00; diff2 = 1.925929944387235853055977942584927319e-34; -532/1000
Check failed for (fp128): alpha = -3.267256359733384968001149118610683125e+00; diff1 = 1.984229402628955662099586085571556893e+00; diff2 = 1.925929944387235853055977942584927319e-34; -520/1000
Check failed for (fp128): alpha = -3.235840433197487035616522684777887851e+00; diff1 = 1.991123929206160025795356088429238978e+00; diff2 = 1.925929944387235853055977942584927319e-34; -515/1000
Check failed for (fp128): alpha = -3.059911244596458614262614655314235546e+00; diff1 = 1.993331856068059767146251925194364206e+00; diff2 = 1.925929944387235853055977942584927319e-34; -487/1000
Check failed for (fp128): alpha = -2.946813909067226057677959493516173405e+00; diff1 = 1.962181034886668170178742191839694576e+00; diff2 = 1.925929944387235853055977942584927319e-34; -469/1000
Check failed for (fp128): alpha = -2.940530723760046471201034206749614890e+00; diff1 = 1.959710104768493731429586819000031134e+00; diff2 = 1.925929944387235853055977942584927319e-34; -468/1000
Check failed for (fp128): alpha = -2.789734276387736395754827324352198188e+00; diff1 = 1.877467715307748170260262479608884110e+00; diff2 = 1.925929944387235853055977942584927319e-34; -444/1000
Check failed for (fp128): alpha = -2.783451091080556809277902037585639288e+00; diff1 = 1.873099773496384688308770782323701349e+00; diff2 = 1.925929944387235853055977942584927319e-34; -443/1000
Check failed for (fp128): alpha = -2.500707752257475417816264133090484128e+00; diff1 = 1.603133969741753137056197439645095602e+00; diff2 = 1.925929944387235853055977942584927319e-34; -398/1000
Check failed for (fp128): alpha = -2.953097094374405644154884780282732499e-01; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.913424103117660969917457522029223940e+00; -47/1000
Check failed for (fp128): alpha = -1.256637061435917295385057353311801109e-01; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.984229402628955662099586085571556893e+00; -20/1000
Check failed for (fp128): alpha = -9.424777960769379715387930149838507718e-02; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.991123929206160025795356088429238978e+00; -15/1000
Check failed for (fp128): alpha = 9.424777960769379715387930149838507718e-02; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.991123929206160025795356088429238978e+00; 15/1000
Check failed for (fp128): alpha = 1.256637061435917295385057353311801109e-01; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.984229402628955662099586085571556893e+00; 20/1000
Check failed for (fp128): alpha = 2.953097094374405644154884780282732499e-01; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.913424103117660969917457522029223940e+00; 47/1000
Check failed for (fp128): alpha = 2.500707752257475417816264133090484128e+00; diff1 = 1.603133969741753137056197439645095602e+00; diff2 = 1.925929944387235853055977942584927319e-34; 398/1000
Check failed for (fp128): alpha = 2.783451091080556809277902037585639288e+00; diff1 = 1.873099773496384688308770782323701349e+00; diff2 = 1.925929944387235853055977942584927319e-34; 443/1000
Check failed for (fp128): alpha = 2.789734276387736395754827324352198188e+00; diff1 = 1.877467715307748170260262479608884110e+00; diff2 = 1.925929944387235853055977942584927319e-34; 444/1000
Check failed for (fp128): alpha = 2.940530723760046471201034206749614890e+00; diff1 = 1.959710104768493731429586819000031134e+00; diff2 = 1.925929944387235853055977942584927319e-34; 468/1000
Check failed for (fp128): alpha = 2.946813909067226057677959493516173405e+00; diff1 = 1.962181034886668170178742191839694576e+00; diff2 = 1.925929944387235853055977942584927319e-34; 469/1000
Check failed for (fp128): alpha = 3.059911244596458614262614655314235546e+00; diff1 = 1.993331856068059767146251925194364206e+00; diff2 = 1.925929944387235853055977942584927319e-34; 487/1000
Check failed for (fp128): alpha = 3.235840433197487035616522684777887851e+00; diff1 = 1.991123929206160025795356088429238978e+00; diff2 = 1.925929944387235853055977942584927319e-34; 515/1000
Check failed for (fp128): alpha = 3.267256359733384968001149118610683125e+00; diff1 = 1.984229402628955662099586085571556893e+00; diff2 = 1.925929944387235853055977942584927319e-34; 520/1000
Check failed for (fp128): alpha = 3.342654583419540005724252559809390705e+00; diff1 = 1.959710104768493731429586819000031134e+00; diff2 = 1.925929944387235853055977942584927319e-34; 532/1000
Check failed for (fp128): alpha = 3.436902363027233802878131861307776144e+00; diff1 = 1.913424103117660969917457522029223940e+00; diff2 = 1.925929944387235853055977942584927319e-34; 547/1000
Check failed for (fp128): alpha = 5.648583591154448242755832803136546597e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.610615771422243903890607612705494269e+00; 899/1000
Check failed for (fp128): alpha = 5.925043744670350047740545420865142085e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.873099773496384688308770782323701349e+00; 943/1000
Check failed for (fp128): alpha = 5.931326929977529634217470707631700986e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.877467715307748170260262479608884110e+00; 944/1000
Check failed for (fp128): alpha = 6.019291524278043844894424722363527138e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.930763277666547768533981484910548829e+00; 958/1000
Epsilon (fp128): 1.925929944387235853055977942584927319e-34
Failed: 34; OK: 1967
