Check failed for (fp32): alpha = -6.283185; diff1 = 1.748456e-07; diff2 = 1.748456e-07; -1000/1000
Check failed for (fp32): alpha = -6.276902; diff1 = 1.484994e-06; diff2 = 0.0125649; -999/1000
Check failed for (fp32): alpha = -6.270619; diff1 = 2.324581e-06; diff2 = 0.02513548; -998/1000
Check failed for (fp32): alpha = -6.264336; diff1 = 2.231449e-06; diff2 = 0.03770158; -997/1000
Check failed for (fp32): alpha = -6.258053; diff1 = 1.134351e-06; diff2 = 0.05027442; -996/1000
Check failed for (fp32): alpha = -6.25177; diff1 = 7.934868e-07; diff2 = 0.06285141; -995/1000
Check failed for (fp32): alpha = -6.245486; diff1 = 9.573996e-07; diff2 = 0.07543479; -994/1000
Check failed for (fp32): alpha = -6.239203; diff1 = 2.123415e-07; diff2 = 0.08802164; -993/1000
Check failed for (fp32): alpha = -6.23292; diff1 = 6.92904e-07; diff2 = 0.1006153; -992/1000
Check failed for (fp32): alpha = -6.226637; diff1 = 3.948808e-07; diff2 = 0.1132172; -991/1000
Check failed for (fp32): alpha = -6.220354; diff1 = 2.980232e-07; diff2 = 0.1258293; -990/1000
Check failed for (fp32): alpha = -6.214071; diff1 = 5.960464e-08; diff2 = 0.1384495; -989/1000
Check failed for (fp32): alpha = -6.207787; diff1 = 3.20375e-07; diff2 = 0.1510833; -988/1000
Check failed for (fp32): alpha = -6.201504; diff1 = 1.862645e-07; diff2 = 0.1637266; -987/1000
Check failed for (fp32): alpha = -6.188938; diff1 = 3.576279e-07; diff2 = 0.1890557; -985/1000
Check failed for (fp32): alpha = -6.182655; diff1 = 1.043081e-07; diff2 = 0.2017409; -984/1000
Check failed for (fp32): alpha = -6.163805; diff1 = 1.564622e-07; diff2 = 0.2399015; -981/1000
Check failed for (fp32): alpha = -6.151238; diff1 = 5.960464e-08; diff2 = 0.265436; -979/1000
Check failed for (fp32): alpha = -6.144955; diff1 = 1.490116e-07; diff2 = 0.2782348; -978/1000
Check failed for (fp32): alpha = -6.132389; diff1 = 7.450581e-08; diff2 = 0.3038996; -976/1000
Check failed for (fp32): alpha = -6.119823; diff1 = 1.043081e-07; diff2 = 0.3296636; -974/1000
Check failed for (fp32): alpha = -6.113539; diff1 = 8.940697e-08; diff2 = 0.3425851; -973/1000
Check failed for (fp32): alpha = -6.107256; diff1 = 1.788139e-07; diff2 = 0.3555336; -972/1000
Check failed for (fp32): alpha = -6.100973; diff1 = 7.450581e-08; diff2 = 0.3685119; -971/1000
Check failed for (fp32): alpha = -6.088407; diff1 = 1.639128e-07; diff2 = 0.3945597; -969/1000
Check failed for (fp32): alpha = -6.082123; diff1 = 2.235174e-07; diff2 = 0.4076316; -968/1000
Check failed for (fp32): alpha = -6.069557; diff1 = 7.450581e-08; diff2 = 0.4338768; -966/1000
Check failed for (fp32): alpha = -6.063274; diff1 = 1.341105e-07; diff2 = 0.4470527; -965/1000
Check failed for (fp32): alpha = -6.050708; diff1 = 1.490116e-07; diff2 = 0.4735166; -963/1000
Check failed for (fp32): alpha = -6.044425; diff1 = 1.788139e-07; diff2 = 0.4868071; -962/1000
Check failed for (fp32): alpha = -6.038141; diff1 = 8.940697e-08; diff2 = 0.500139; -961/1000
Check failed for (fp32): alpha = -6.031858; diff1 = 1.192093e-07; diff2 = 0.5135127; -960/1000
Check failed for (fp32): alpha = -6.025575; diff1 = 8.940697e-08; diff2 = 0.5269293; -959/1000
Check failed for (fp32): alpha = -6.013009; diff1 = 1.490116e-07; diff2 = 0.5538969; -957/1000
Check failed for (fp32): alpha = -6.006725; diff1 = 8.940697e-08; diff2 = 0.5674509; -956/1000
Check failed for (fp32): alpha = -6.000442; diff1 = 5.960464e-08; diff2 = 0.5810535; -955/1000
Check failed for (fp32): alpha = -5.987876; diff1 = 5.960464e-08; diff2 = 0.6084085; -953/1000
Check failed for (fp32): alpha = -5.981593; diff1 = 5.960464e-08; diff2 = 0.6221642; -952/1000
Check failed for (fp32): alpha = -5.95646; diff1 = 5.960464e-08; diff2 = 0.6777401; -948/1000
Check failed for (fp32): alpha = -5.950177; diff1 = 1.490116e-07; diff2 = 0.6917797; -947/1000
