Check failed for (fp64): alpha = -6.28318530717959; diff1 = inf; diff2 = inf; -1000/1000
Check failed for (fp64): alpha = -6.27690212187241; diff1 = 1.24202870210866e-10; diff2 = 318.305697382445; -999/1000
Check failed for (fp64): alpha = -6.27061893656523; diff1 = 3.22586402035085e-12; diff2 = 159.146565423281; -998/1000
Check failed for (fp64): alpha = -6.26433575125805; diff1 = 9.99733629214461e-12; diff2 = 106.090728726302; -997/1000
Check failed for (fp64): alpha = -6.25805256595087; diff1 = 1.50635059981141e-12; diff2 = 79.5607156795181; -996/1000
Check failed for (fp64): alpha = -6.25176938064369; diff1 = 1.83320025826106e-12; diff2 = 63.6410319075496; -995/1000
Check failed for (fp64): alpha = -6.24548619533651; diff1 = 1.13686837721616e-13; diff2 = 53.0265125744644; -994/1000
Check failed for (fp64): alpha = -6.23920301002933; diff1 = 4.47641923528863e-13; diff2 = 45.44351556988; -993/1000
Check failed for (fp64): alpha = -6.23291982472215; diff1 = 7.8159700933611e-14; diff2 = 39.7552198054561; -992/1000
Check failed for (fp64): alpha = -6.22663663941497; diff1 = 6.75015598972095e-14; diff2 = 35.3300579804138; -991/1000
Check failed for (fp64): alpha = -6.22035345410779; diff1 = 9.41469124882133e-14; diff2 = 31.7890896877306; -990/1000
Check failed for (fp64): alpha = -6.21407026880061; diff1 = 1.4210854715202e-13; diff2 = 28.891171007865; -989/1000
Check failed for (fp64): alpha = -6.20778708349343; diff1 = 3.5527136788005e-14; diff2 = 26.4755393056153; -988/1000
Check failed for (fp64): alpha = -6.20150389818625; diff1 = 8.88178419700125e-15; diff2 = 24.4308973515035; -987/1000
Check failed for (fp64): alpha = -6.19522071287907; diff1 = 3.73034936274053e-14; diff2 = 22.6777471054205; -986/1000
Check failed for (fp64): alpha = -6.18893752757189; diff1 = 4.61852778244065e-14; diff2 = 21.1577899868112; -985/1000
Check failed for (fp64): alpha = -6.18265434226471; diff1 = 1.95399252334028e-14; diff2 = 19.8273020435393; -984/1000
Check failed for (fp64): alpha = -6.17637115695753; diff1 = 2.66453525910038e-14; diff2 = 18.6528472964433; -983/1000
Check failed for (fp64): alpha = -6.15752160103599; diff1 = 8.88178419700125e-15; diff2 = 15.8316301766116; -980/1000
Check failed for (fp64): alpha = -6.15123841572882; diff1 = 1.77635683940025e-15; diff2 = 15.0695467664488; -979/1000
Check failed for (fp64): alpha = -6.14495523042164; diff1 = 2.1316282072803e-14; diff2 = 14.376360203253; -978/1000
Check failed for (fp64): alpha = -6.13867204511446; diff1 = 2.66453525910038e-15; diff2 = 13.7430836922728; -977/1000
Check failed for (fp64): alpha = -6.13238885980728; diff1 = 1.77635683940025e-14; diff2 = 13.1622282265533; -976/1000
Check failed for (fp64): alpha = -6.1261056745001; diff1 = 1.50990331349021e-14; diff2 = 12.6275030293501; -975/1000
Check failed for (fp64): alpha = -6.11982248919292; diff1 = 7.99360577730113e-15; diff2 = 12.1335851252147; -974/1000
Check failed for (fp64): alpha = -6.11353930388574; diff1 = 8.88178419700125e-15; diff2 = 11.6759401175051; -973/1000
Check failed for (fp64): alpha = -6.10725611857856; diff1 = 1.33226762955019e-14; diff2 = 11.2506813707134; -972/1000
Check failed for (fp64): alpha = -6.10097293327138; diff1 = 2.66453525910038e-15; diff2 = 10.8544583274839; -971/1000
Check failed for (fp64): alpha = -6.0946897479642; diff1 = 7.99360577730113e-15; diff2 = 10.4843671622264; -970/1000
Check failed for (fp64): alpha = -6.08840656265702; diff1 = 2.66453525910038e-15; diff2 = 10.137878727577; -969/1000
Check failed for (fp64): alpha = -6.08212337734984; diff1 = 5.32907051820075e-15; diff2 = 9.81278001089745; -968/1000
Check failed for (fp64): alpha = -6.07584019204266; diff1 = 1.77635683940025e-15; diff2 = 9.50712623504497; -967/1000
Check failed for (fp64): alpha = -6.06955700673548; diff1 = 8.88178419700125e-16; diff2 = 9.21920141194783; -966/1000
Check failed for (fp64): alpha = -6.0632738214283; diff1 = 8.88178419700125e-16; diff2 = 8.94748565842308; -965/1000
Check failed for (fp64): alpha = -6.05699063612112; diff1 = 7.105427357601e-15; diff2 = 8.69062795935784; -964/1000
Check failed for (fp64): alpha = -6.05070745081394; diff1 = 1.77635683940025e-15; diff2 = 8.44742334767047; -963/1000
Check failed for (fp64): alpha = -6.04442426550676; diff1 = 1.77635683940025e-15; diff2 = 8.2167936874354; -962/1000
Check failed for (fp64): alpha = -6.03814108019958; diff1 = 8.88178419700125e-16; diff2 = 7.99777141344894; -961/1000
Check failed for (fp64): alpha = -6.0318578948924; diff1 = 4.44089209850063e-16; diff2 = 7.7894857098597; -960/1000
Check failed for (fp64): alpha = -6.02557470958522; diff1 = 4.44089209850063e-16; diff2 = 7.59115071143755; -959/1000
Check failed for (fp64): alpha = -6.01929152427804; diff1 = 1.77635683940025e-15; diff2 = 7.40205539037452; -958/1000
Check failed for (fp64): alpha = -6.01300833897086; diff1 = 4.44089209850063e-16; diff2 = 7.22155485422931; -957/1000
Check failed for (fp64): alpha = -6.00672515366368; diff1 = 1.33226762955019e-15; diff2 = 7.04906283051449; -956/1000
Check failed for (fp64): alpha = -5.99415878304932; diff1 = 8.88178419700125e-16; diff2 = 6.72601409961436; -954/1000
Check failed for (fp64): alpha = -5.98787559774215; diff1 = 4.44089209850063e-16; diff2 = 6.5745234483063; -953/1000
Check failed for (fp64): alpha = -5.98159241243497; diff1 = 4.44089209850063e-16; diff2 = 6.42916415726805; -952/1000
Check failed for (fp64): alpha = -5.96902604182061; diff1 = 4.44089209850063e-16; diff2 = 6.1553670743505; -950/1000
Check failed for (fp64): alpha = -5.96274285651343; diff1 = 4.44089209850063e-16; diff2 = 6.02626516226094; -949/1000
Check failed for (fp64): alpha = -5.95645967120625; diff1 = 2.22044604925031e-15; diff2 = 5.90196081837345; -948/1000
Check failed for (fp64): alpha = -5.95017648589907; diff1 = 4.44089209850063e-16; diff2 = 5.78218221191761; -947/1000
Check failed for (fp64): alpha = -5.94389330059189; diff1 = 4.44089209850063e-16; diff2 = 5.66667764205016; -946/1000
Check failed for (fp64): alpha = -5.93761011528471; diff1 = 8.88178419700125e-16; diff2 = 5.55521370782993; -945/1000
Check failed for (fp64): alpha = -5.93132692997753; diff1 = 8.88178419700125e-16; diff2 = 5.44757367426648; -944/1000
Check failed for (fp64): alpha = -5.92504374467035; diff1 = 4.44089209850063e-16; diff2 = 5.34355601036264; -943/1000
Check failed for (fp64): alpha = -5.91876055936317; diff1 = 8.88178419700125e-16; diff2 = 5.24297307839349; -942/1000
Check failed for (fp64): alpha = -5.91247737405599; diff1 = 4.44089209850063e-16; diff2 = 5.14564995647834; -941/1000
Check failed for (fp64): alpha = -5.89991100344163; diff1 = 4.44089209850063e-16; diff2 = 4.96014078062265; -939/1000
Check failed for (fp64): alpha = -5.89362781813445; diff1 = 4.44089209850063e-16; diff2 = 4.87165943435321; -938/1000
Check failed for (fp64): alpha = -5.88106144752009; diff1 = 8.88178419700125e-16; diff2 = 4.70257416551561; -936/1000
Check failed for (fp64): alpha = -5.87477826221291; diff1 = 4.44089209850063e-16; diff2 = 4.62172730776483; -935/1000
Check failed for (fp64): alpha = -5.86849507690573; diff1 = 8.88178419700125e-16; diff2 = 4.54319460546597; -934/1000
Check failed for (fp64): alpha = -5.8496455209842; diff1 = 4.44089209850063e-16; diff2 = 4.32047252817653; -931/1000
Check failed for (fp64): alpha = -5.84336233567702; diff1 = 8.88178419700125e-16; diff2 = 4.25021634631441; -930/1000
Check failed for (fp64): alpha = -5.83707915036984; diff1 = 4.44089209850063e-16; diff2 = 4.18181165103102; -929/1000
Check failed for (fp64): alpha = -5.82451277975548; diff1 = 4.44089209850063e-16; diff2 = 4.05025123838502; -927/1000
