Check failed for (fp128): x = -6.270618936565227303971436193025887793e+00; diff = 6.162975822039154729779129416271767419e-33; -998/1000
Check failed for (fp128): x = -6.258052565950868131017585619492769221e+00; diff = 3.081487911019577364889564708135883710e-33; -996/1000
Check failed for (fp128): x = -6.251769380643688544540660332726210320e+00; diff = 1.540743955509788682444782354067941855e-33; -995/1000
Check failed for (fp128): x = -6.239203010029329371586809759193092519e+00; diff = 1.540743955509788682444782354067941855e-33; -993/1000
Check failed for (fp128): x = -6.195220712879072266248332751827179443e+00; diff = 7.703719777548943412223911770339709274e-34; -986/1000
Check failed for (fp128): x = -6.188937527571892679771407465060620542e+00; diff = 7.703719777548943412223911770339709274e-34; -985/1000
Check failed for (fp128): x = -6.170087971650353920340631604760943839e+00; diff = 7.703719777548943412223911770339709274e-34; -982/1000
Check failed for (fp128): x = -6.157521601035994747386781031227825267e+00; diff = 7.703719777548943412223911770339709274e-34; -980/1000
Check failed for (fp128): x = -6.151238415728815160909855744461266367e+00; diff = 3.851859888774471706111955885169854637e-34; -979/1000
Check failed for (fp128): x = -6.144955230421635574432930457694707466e+00; diff = 3.851859888774471706111955885169854637e-34; -978/1000
Check failed for (fp128): x = -6.138672045114455987956005170928148565e+00; diff = 3.851859888774471706111955885169854637e-34; -977/1000
Check failed for (fp128): x = -6.132388859807276401479079884161588894e+00; diff = 3.851859888774471706111955885169854637e-34; -976/1000
Check failed for (fp128): x = -6.126105674500096815002154597395029993e+00; diff = 3.851859888774471706111955885169854637e-34; -975/1000
Check failed for (fp128): x = -6.119822489192917228525229310628471092e+00; diff = 3.851859888774471706111955885169854637e-34; -974/1000
Check failed for (fp128): x = -6.113539303885737642048304023861912191e+00; diff = 3.851859888774471706111955885169854637e-34; -973/1000
Check failed for (fp128): x = -6.088406562657019296140602876795676588e+00; diff = 3.851859888774471706111955885169854637e-34; -969/1000
Check failed for (fp128): x = -6.050707450813941777279051156196322413e+00; diff = 1.925929944387235853055977942584927319e-34; -963/1000
Check failed for (fp128): x = -6.044424265506762190802125869429763512e+00; diff = 3.851859888774471706111955885169854637e-34; -962/1000
Check failed for (fp128): x = -6.038141080199582604325200582663204611e+00; diff = 1.925929944387235853055977942584927319e-34; -961/1000
Check failed for (fp128): x = -6.006725153663684671940574148830409336e+00; diff = 1.925929944387235853055977942584927319e-34; -956/1000
Check failed for (fp128): x = -5.994158783049325498986723575297291535e+00; diff = 3.851859888774471706111955885169854637e-34; -954/1000
Check failed for (fp128): x = -5.987875597742145912509798288530732634e+00; diff = 1.925929944387235853055977942584927319e-34; -953/1000
Check failed for (fp128): x = -5.981592412434966326032873001764173733e+00; diff = 1.925929944387235853055977942584927319e-34; -952/1000
