Check failed for (fp32): x = -6.270619; diff = 7.629395e-06; -998/1000
Check failed for (fp32): x = -6.239203; diff = 1.907349e-06; -993/1000
Check failed for (fp32): x = -6.226637; diff = 1.907349e-06; -991/1000
Check failed for (fp32): x = -6.214071; diff = 9.536743e-07; -989/1000
Check failed for (fp32): x = -6.207787; diff = 9.536743e-07; -988/1000
Check failed for (fp32): x = -6.195221; diff = 9.536743e-07; -986/1000
Check failed for (fp32): x = -6.157522; diff = 9.536743e-07; -980/1000
Check failed for (fp32): x = -6.151238; diff = 4.768372e-07; -979/1000
Check failed for (fp32): x = -6.144955; diff = 4.768372e-07; -978/1000
Check failed for (fp32): x = -6.138672; diff = 4.768372e-07; -977/1000
Check failed for (fp32): x = -6.126106; diff = 4.768372e-07; -975/1000
Check failed for (fp32): x = -6.107256; diff = 4.768372e-07; -972/1000
Check failed for (fp32): x = -6.09469; diff = 4.768372e-07; -970/1000
Check failed for (fp32): x = -6.082123; diff = 4.768372e-07; -968/1000
Check failed for (fp32): x = -6.038141; diff = 2.384186e-07; -961/1000
Check failed for (fp32): x = -6.031858; diff = 2.384186e-07; -960/1000
Check failed for (fp32): x = -6.025575; diff = 2.384186e-07; -959/1000
Check failed for (fp32): x = -6.019292; diff = 2.384186e-07; -958/1000
Check failed for (fp32): x = -6.013009; diff = 2.384186e-07; -957/1000
Check failed for (fp32): x = -6.006725; diff = 2.384186e-07; -956/1000
Check failed for (fp32): x = -6.000442; diff = 2.384186e-07; -955/1000
Check failed for (fp32): x = -5.981593; diff = 2.384186e-07; -952/1000
Check failed for (fp32): x = -5.962743; diff = 2.384186e-07; -949/1000
Check failed for (fp32): x = -5.93761; diff = 2.384186e-07; -945/1000
Check failed for (fp32): x = -5.918761; diff = 2.384186e-07; -942/1000
Check failed for (fp32): x = -5.893628; diff = 2.384186e-07; -938/1000
Check failed for (fp32): x = -5.887345; diff = 4.768372e-07; -937/1000
Check failed for (fp32): x = -5.874778; diff = 2.384186e-07; -935/1000
Check failed for (fp32): x = -5.824513; diff = 2.384186e-07; -927/1000
Check failed for (fp32): x = -5.81823; diff = 1.192093e-07; -926/1000
Check failed for (fp32): x = -5.805664; diff = 2.384186e-07; -924/1000
Check failed for (fp32): x = -5.79938; diff = 1.192093e-07; -923/1000
Check failed for (fp32): x = -5.793097; diff = 1.192093e-07; -922/1000
Check failed for (fp32): x = -5.780531; diff = 1.192093e-07; -920/1000
