Check failed for (fp64): x = -6.28318530717959; diff = 269687594237; -1000/1000
Check failed for (fp64): x = -6.27690212187241; diff = 5.6843418860808e-14; -999/1000
Check failed for (fp64): x = -6.25176938064369; diff = 7.105427357601e-15; -995/1000
Check failed for (fp64): x = -6.24548619533651; diff = 7.105427357601e-15; -994/1000
Check failed for (fp64): x = -6.23920301002933; diff = 7.105427357601e-15; -993/1000
Check failed for (fp64): x = -6.22035345410779; diff = 3.5527136788005e-15; -990/1000
Check failed for (fp64): x = -6.20778708349343; diff = 3.5527136788005e-15; -988/1000
Check failed for (fp64): x = -6.18893752757189; diff = 3.5527136788005e-15; -985/1000
Check failed for (fp64): x = -6.18265434226471; diff = 3.5527136788005e-15; -984/1000
Check failed for (fp64): x = -6.15752160103599; diff = 1.77635683940025e-15; -980/1000
Check failed for (fp64): x = -6.13867204511446; diff = 1.77635683940025e-15; -977/1000
Check failed for (fp64): x = -6.1261056745001; diff = 1.77635683940025e-15; -975/1000
Check failed for (fp64): x = -6.10097293327138; diff = 1.77635683940025e-15; -971/1000
Check failed for (fp64): x = -6.0946897479642; diff = 1.77635683940025e-15; -970/1000
Check failed for (fp64): x = -6.08840656265702; diff = 1.77635683940025e-15; -969/1000
Check failed for (fp64): x = -6.08212337734984; diff = 1.77635683940025e-15; -968/1000
Check failed for (fp64): x = -6.0632738214283; diff = 1.77635683940025e-15; -965/1000
Check failed for (fp64): x = -6.04442426550676; diff = 1.77635683940025e-15; -962/1000
Check failed for (fp64): x = -6.0318578948924; diff = 8.88178419700125e-16; -960/1000
Check failed for (fp64): x = -6.02557470958522; diff = 8.88178419700125e-16; -959/1000
Check failed for (fp64): x = -6.01929152427804; diff = 8.88178419700125e-16; -958/1000
Check failed for (fp64): x = -6.00672515366368; diff = 8.88178419700125e-16; -956/1000
Check failed for (fp64): x = -6.0004419683565; diff = 8.88178419700125e-16; -955/1000
Check failed for (fp64): x = -5.96902604182061; diff = 8.88178419700125e-16; -950/1000
