Check failed for (fp128): x = -6.283185307179586476925286766559005595e+00; diff = inf; -1000/1000
Check failed for (fp128): x = -6.276902121872406890448361479792446694e+00; diff = 1.117224257019257969414360580581745998e-28; -999/1000
Check failed for (fp128): x = -6.270618936565227303971436193025887793e+00; diff = 3.840766532294801227598353452220565456e-29; -998/1000
Check failed for (fp128): x = -6.264335751258047717494510906259328122e+00; diff = 1.257247067695987564874942400919440554e-29; -997/1000
Check failed for (fp128): x = -6.258052565950868131017585619492769221e+00; diff = 1.516092052221632063525665836402854785e-30; -996/1000
Check failed for (fp128): x = -6.251769380643688544540660332726210320e+00; diff = 8.443276876193641979797407300292321364e-31; -995/1000
Check failed for (fp128): x = -6.245486195336508958063735045959651420e+00; diff = 3.821045009664275932463060238088495800e-31; -994/1000
Check failed for (fp128): x = -6.239203010029329371586809759193092519e+00; diff = 1.571558834619984456093678001149300692e-30; -993/1000
Check failed for (fp128): x = -6.232919824722149785109884472426533618e+00; diff = 9.059574458397557452775320241919498106e-31; -992/1000
Check failed for (fp128): x = -6.226636639414970198632959185659974717e+00; diff = 6.039716305598371635183546827946332071e-31; -991/1000
Check failed for (fp128): x = -6.220353454107790612156033898893415816e+00; diff = 6.748458525132874429108146710817585324e-31; -990/1000
Check failed for (fp128): x = -6.214070268800611025679108612126856916e+00; diff = 3.358821823011339327729625531868113244e-31; -989/1000
Check failed for (fp128): x = -6.207787083493431439202183325360298015e+00; diff = 3.050673031909381591240669061054524873e-31; -988/1000
Check failed for (fp128): x = -6.201503898186251852725258038593739114e+00; diff = 2.773339119917619628400608237322295339e-32; -987/1000
Check failed for (fp128): x = -6.195220712879072266248332751827179443e+00; diff = 7.703719777548943412223911770339709274e-32; -986/1000
Check failed for (fp128): x = -6.188937527571892679771407465060620542e+00; diff = 6.471124613141112466268085887085355790e-32; -985/1000
Check failed for (fp128): x = -6.182654342264713093294482178294061641e+00; diff = 2.773339119917619628400608237322295339e-32; -984/1000
Check failed for (fp128): x = -6.176371156957533506817556891527502740e+00; diff = 1.232595164407830945955825883254353484e-32; -983/1000
Check failed for (fp128): x = -6.170087971650353920340631604760943839e+00; diff = 1.294224922628222493253617177417071158e-31; -982/1000
Check failed for (fp128): x = -6.163804786343174333863706317994384168e+00; diff = 4.005934284325450574356434120576648823e-32; -981/1000
Check failed for (fp128): x = -6.157521601035994747386781031227825267e+00; diff = 5.392603844284260388556738239237796492e-32; -980/1000
Check failed for (fp128): x = -6.151238415728815160909855744461266367e+00; diff = 1.540743955509788682444782354067941855e-33; -979/1000
Check failed for (fp128): x = -6.144955230421635574432930457694707466e+00; diff = 7.087422195345027939245998828712532532e-32; -978/1000
Check failed for (fp128): x = -6.138672045114455987956005170928148565e+00; diff = 3.543711097672513969622999414356266266e-32; -977/1000
Check failed for (fp128): x = -6.132388859807276401479079884161588894e+00; diff = 9.244463733058732094668694124407651129e-33; -976/1000
Check failed for (fp128): x = -6.126105674500096815002154597395029993e+00; diff = 4.468157470978387179089868826797031379e-32; -975/1000
Check failed for (fp128): x = -6.119822489192917228525229310628471092e+00; diff = 4.160008679876429442600912355983443008e-32; -974/1000
Check failed for (fp128): x = -6.113539303885737642048304023861912191e+00; diff = 2.773339119917619628400608237322295339e-32; -973/1000
Check failed for (fp128): x = -6.107256118578558055571378737095353290e+00; diff = 2.619264724366640760156130001915501153e-32; -972/1000
Check failed for (fp128): x = -6.100972933271378469094453450328794390e+00; diff = 2.157041537713704155422695295695118597e-32; -971/1000
Check failed for (fp128): x = -6.094689747964198882617528163562235489e+00; diff = 2.002967142162725287178217060288324411e-32; -970/1000
Check failed for (fp128): x = -6.088406562657019296140602876795676588e+00; diff = 1.386669559958809814200304118661147669e-32; -969/1000
Check failed for (fp128): x = -6.082123377349839709663677590029117687e+00; diff = 9.244463733058732094668694124407651129e-33; -968/1000
Check failed for (fp128): x = -6.075840192042660123186752303262558786e+00; diff = 1.540743955509788682444782354067941855e-32; -967/1000
Check failed for (fp128): x = -6.069557006735480536709827016495999115e+00; diff = 6.162975822039154729779129416271767419e-33; -966/1000
Check failed for (fp128): x = -6.063273821428300950232901729729440214e+00; diff = 1.232595164407830945955825883254353484e-32; -965/1000
Check failed for (fp128): x = -6.056990636121121363755976442962881313e+00; diff = 3.081487911019577364889564708135883710e-33; -964/1000
Check failed for (fp128): x = -6.050707450813941777279051156196322413e+00; diff = 1.540743955509788682444782354067941855e-33; -963/1000
Check failed for (fp128): x = -6.044424265506762190802125869429763512e+00; diff = 9.244463733058732094668694124407651129e-33; -962/1000
Check failed for (fp128): x = -6.038141080199582604325200582663204611e+00; diff = 1.540743955509788682444782354067941855e-33; -961/1000
Check failed for (fp128): x = -6.031857894892403017848275295896644940e+00; diff = 8.474091755303837753446302947373680202e-33; -960/1000
