Check failed for (fp64): x = -6.28318530717959; diff = inf; -1000/1000
Check failed for (fp64): x = -6.27690212187241; diff = 2.48917331191478e-10; -999/1000
Check failed for (fp64): x = -6.27061893656523; diff = 8.32756086310837e-12; -998/1000
Check failed for (fp64): x = -6.26433575125805; diff = 2.70290456683142e-11; -997/1000
Check failed for (fp64): x = -6.25805256595087; diff = 7.98650034994353e-12; -996/1000
Check failed for (fp64): x = -6.25176938064369; diff = 5.82645043323282e-12; -995/1000
Check failed for (fp64): x = -6.24548619533651; diff = 1.61293201017543e-12; -994/1000
Check failed for (fp64): x = -6.23920301002933; diff = 7.17648163117701e-13; -993/1000
Check failed for (fp64): x = -6.23291982472215; diff = 9.9475983006414e-14; -992/1000
Check failed for (fp64): x = -6.22663663941497; diff = 1.27897692436818e-13; -991/1000
Check failed for (fp64): x = -6.22035345410779; diff = 1.66977542903624e-13; -990/1000
Check failed for (fp64): x = -6.21407026880061; diff = 5.25801624462474e-13; -989/1000
Check failed for (fp64): x = -6.20778708349343; diff = 1.06581410364015e-14; -988/1000
Check failed for (fp64): x = -6.20150389818625; diff = 1.84741111297626e-13; -987/1000
Check failed for (fp64): x = -6.19522071287907; diff = 2.8421709430404e-13; -986/1000
Check failed for (fp64): x = -6.18893752757189; diff = 1.91846538655227e-13; -985/1000
Check failed for (fp64): x = -6.18265434226471; diff = 1.45661260830821e-13; -984/1000
Check failed for (fp64): x = -6.17637115695753; diff = 2.48689957516035e-14; -983/1000
Check failed for (fp64): x = -6.17008797165035; diff = 5.6843418860808e-14; -982/1000
Check failed for (fp64): x = -6.16380478634317; diff = 5.6843418860808e-14; -981/1000
Check failed for (fp64): x = -6.15752160103599; diff = 2.8421709430404e-14; -980/1000
Check failed for (fp64): x = -6.15123841572882; diff = 4.61852778244065e-14; -979/1000
Check failed for (fp64): x = -6.14495523042164; diff = 6.03961325396085e-14; -978/1000
Check failed for (fp64): x = -6.13867204511446; diff = 2.48689957516035e-14; -977/1000
Check failed for (fp64): x = -6.13238885980728; diff = 4.2632564145606e-14; -976/1000
Check failed for (fp64): x = -6.1261056745001; diff = 3.19744231092045e-14; -975/1000
Check failed for (fp64): x = -6.11982248919292; diff = 2.1316282072803e-14; -974/1000
Check failed for (fp64): x = -6.11353930388574; diff = 2.8421709430404e-14; -973/1000
Check failed for (fp64): x = -6.10725611857856; diff = 4.08562073062058e-14; -972/1000
Check failed for (fp64): x = -6.10097293327138; diff = 8.88178419700125e-15; -971/1000
Check failed for (fp64): x = -6.0946897479642; diff = 3.01980662698043e-14; -970/1000
Check failed for (fp64): x = -6.08840656265702; diff = 1.77635683940025e-15; -969/1000
Check failed for (fp64): x = -6.08212337734984; diff = 1.4210854715202e-14; -968/1000
Check failed for (fp64): x = -6.07584019204266; diff = 3.5527136788005e-15; -967/1000
Check failed for (fp64): x = -6.06955700673548; diff = 1.24344978758018e-14; -966/1000
Check failed for (fp64): x = -6.0632738214283; diff = 7.105427357601e-15; -965/1000
Check failed for (fp64): x = -6.05699063612112; diff = 1.59872115546023e-14; -964/1000
Check failed for (fp64): x = -6.05070745081394; diff = 1.4210854715202e-14; -963/1000
Check failed for (fp64): x = -6.04442426550676; diff = 1.06581410364015e-14; -962/1000
Check failed for (fp64): x = -6.03814108019958; diff = 5.32907051820075e-15; -961/1000
Check failed for (fp64): x = -6.0318578948924; diff = 2.66453525910038e-15; -960/1000
Check failed for (fp64): x = -6.02557470958522; diff = 1.77635683940025e-15; -959/1000
Check failed for (fp64): x = -6.01929152427804; diff = 8.88178419700125e-15; -958/1000
Check failed for (fp64): x = -6.01300833897086; diff = 6.21724893790088e-15; -957/1000
Check failed for (fp64): x = -6.00672515366368; diff = 7.105427357601e-15; -956/1000
Check failed for (fp64): x = -6.0004419683565; diff = 8.88178419700125e-16; -955/1000
Check failed for (fp64): x = -5.99415878304932; diff = 2.66453525910038e-15; -954/1000
Check failed for (fp64): x = -5.98787559774215; diff = 2.66453525910038e-15; -953/1000
Check failed for (fp64): x = -5.98159241243497; diff = 3.5527136788005e-15; -952/1000
Check failed for (fp64): x = -5.97530922712779; diff = 8.88178419700125e-16; -951/1000
Check failed for (fp64): x = -5.96902604182061; diff = 3.5527136788005e-15; -950/1000
Check failed for (fp64): x = -5.96274285651343; diff = 2.66453525910038e-15; -949/1000
Check failed for (fp64): x = -5.95645967120625; diff = 6.21724893790088e-15; -948/1000
Check failed for (fp64): x = -5.95017648589907; diff = 3.5527136788005e-15; -947/1000
Check failed for (fp64): x = -5.94389330059189; diff = 1.77635683940025e-15; -946/1000
Check failed for (fp64): x = -5.93761011528471; diff = 2.66453525910038e-15; -945/1000
Check failed for (fp64): x = -5.93132692997753; diff = 4.44089209850063e-15; -944/1000
Check failed for (fp64): x = -5.91876055936317; diff = 8.88178419700125e-16; -942/1000
Check failed for (fp64): x = -5.91247737405599; diff = 2.66453525910038e-15; -941/1000
Check failed for (fp64): x = -5.90619418874881; diff = 8.88178419700125e-16; -940/1000
Check failed for (fp64): x = -5.89991100344163; diff = 1.77635683940025e-15; -939/1000
Check failed for (fp64): x = -5.88734463282727; diff = 8.88178419700125e-16; -937/1000
Check failed for (fp64): x = -5.88106144752009; diff = 2.66453525910038e-15; -936/1000
Check failed for (fp64): x = -5.87477826221291; diff = 8.88178419700125e-16; -935/1000
Check failed for (fp64): x = -5.86849507690573; diff = 2.66453525910038e-15; -934/1000
Check failed for (fp64): x = -5.86221189159855; diff = 1.77635683940025e-15; -933/1000
Check failed for (fp64): x = -5.8496455209842; diff = 1.77635683940025e-15; -931/1000
Check failed for (fp64): x = -5.84336233567702; diff = 1.77635683940025e-15; -930/1000
Check failed for (fp64): x = -5.83707915036984; diff = 8.88178419700125e-16; -929/1000
Check failed for (fp64): x = -5.83079596506266; diff = 1.77635683940025e-15; -928/1000
Check failed for (fp64): x = -5.82451277975548; diff = 1.77635683940025e-15; -927/1000
Check failed for (fp64): x = -5.8182295944483; diff = 8.88178419700125e-16; -926/1000
Check failed for (fp64): x = -5.81194640914112; diff = 1.77635683940025e-15; -925/1000
Check failed for (fp64): x = -5.80566322383394; diff = 8.88178419700125e-16; -924/1000
Check failed for (fp64): x = -5.79938003852676; diff = 8.88178419700125e-16; -923/1000
Check failed for (fp64): x = -5.79309685321958; diff = 8.88178419700125e-16; -922/1000
Check failed for (fp64): x = -5.7868136679124; diff = 4.44089209850063e-16; -921/1000
Check failed for (fp64): x = -5.78053048260522; diff = 8.88178419700125e-16; -920/1000
Check failed for (fp64): x = -5.77424729729804; diff = 1.33226762955019e-15; -919/1000
Check failed for (fp64): x = -5.76796411199086; diff = 8.88178419700125e-16; -918/1000
Check failed for (fp64): x = -5.76168092668368; diff = 8.88178419700125e-16; -917/1000
Check failed for (fp64): x = -5.7553977413765; diff = 8.88178419700125e-16; -916/1000
Check failed for (fp64): x = -5.74911455606932; diff = 1.33226762955019e-15; -915/1000
Check failed for (fp64): x = -5.73654818545496; diff = 8.88178419700125e-16; -913/1000
Check failed for (fp64): x = -5.7239818148406; diff = 1.33226762955019e-15; -911/1000
Check failed for (fp64): x = -5.71769862953342; diff = 8.88178419700125e-16; -910/1000
Check failed for (fp64): x = -5.71141544422624; diff = 8.88178419700125e-16; -909/1000
Check failed for (fp64): x = -5.70513225891906; diff = 4.44089209850063e-16; -908/1000
Check failed for (fp64): x = -5.67999951769035; diff = 4.44089209850063e-16; -904/1000
Check failed for (fp64): x = -5.67371633238317; diff = 4.44089209850063e-16; -903/1000
Check failed for (fp64): x = -5.66743314707599; diff = 1.33226762955019e-15; -902/1000
Check failed for (fp64): x = -5.66114996176881; diff = 1.33226762955019e-15; -901/1000
Check failed for (fp64): x = -5.65486677646163; diff = 8.88178419700125e-16; -900/1000
Check failed for (fp64): x = -5.64858359115445; diff = 4.44089209850063e-16; -899/1000
Check failed for (fp64): x = -5.63601722054009; diff = 8.88178419700125e-16; -897/1000
Check failed for (fp64): x = -5.62973403523291; diff = 4.44089209850063e-16; -896/1000
Check failed for (fp64): x = -5.62345084992573; diff = 8.88178419700125e-16; -895/1000
Check failed for (fp64): x = -5.61088447931137; diff = 4.44089209850063e-16; -893/1000
Check failed for (fp64): x = -5.60460129400419; diff = 4.44089209850063e-16; -892/1000
Check failed for (fp64): x = -5.59831810869701; diff = 4.44089209850063e-16; -891/1000
Check failed for (fp64): x = -5.59203492338983; diff = 4.44089209850063e-16; -890/1000
Check failed for (fp64): x = -5.57946855277547; diff = 4.44089209850063e-16; -888/1000
Check failed for (fp64): x = -5.55433581154675; diff = 4.44089209850063e-16; -884/1000
Check failed for (fp64): x = -5.54805262623958; diff = 4.44089209850063e-16; -883/1000
Check failed for (fp64): x = -5.53548625562522; diff = 4.44089209850063e-16; -881/1000
Check failed for (fp64): x = -5.52920307031804; diff = 4.44089209850063e-16; -880/1000
Check failed for (fp64): x = -5.52291988501086; diff = 4.44089209850063e-16; -879/1000
Check failed for (fp64): x = -5.51663669970368; diff = 4.44089209850063e-16; -878/1000
Check failed for (fp64): x = -5.5103535143965; diff = 4.44089209850063e-16; -877/1000
Check failed for (fp64): x = -5.49778714378214; diff = 4.44089209850063e-16; -875/1000
Check failed for (fp64): x = -5.46008803193906; diff = 4.44089209850063e-16; -869/1000
Check failed for (fp64): x = -5.4475216613247; diff = 4.44089209850063e-16; -867/1000
Check failed for (fp64): x = -5.43495529071034; diff = 4.44089209850063e-16; -865/1000
Check failed for (fp64): x = -5.42867210540316; diff = 4.44089209850063e-16; -864/1000
Check failed for (fp64): x = -5.40982254948162; diff = 4.44089209850063e-16; -861/1000
Check failed for (fp64): x = -5.40353936417444; diff = 4.44089209850063e-16; -860/1000
Check failed for (fp64): x = -5.39725617886726; diff = 4.44089209850063e-16; -859/1000
Check failed for (fp64): x = -5.37840662294573; diff = 4.44089209850063e-16; -856/1000
Check failed for (fp64): x = -5.37212343763855; diff = 4.44089209850063e-16; -855/1000
Check failed for (fp64): x = -5.36584025233137; diff = 4.44089209850063e-16; -854/1000
Check failed for (fp64): x = -5.34070751110265; diff = 2.22044604925031e-16; -850/1000
Check failed for (fp64): x = -5.30929158456675; diff = 2.22044604925031e-16; -845/1000
Check failed for (fp64): x = -5.28415884333803; diff = 2.22044604925031e-16; -841/1000
Check failed for (fp64): x = -5.27159247272367; diff = 2.22044604925031e-16; -839/1000
Check failed for (fp64): x = -5.25902610210931; diff = 2.22044604925031e-16; -837/1000
Check failed for (fp64): x = -5.25274291680213; diff = 2.22044604925031e-16; -836/1000
Check failed for (fp64): x = -5.24645973149495; diff = 4.44089209850063e-16; -835/1000
Check failed for (fp64): x = -5.23389336088059; diff = 2.22044604925031e-16; -833/1000
Check failed for (fp64): x = -5.21504380495906; diff = 2.22044604925031e-16; -830/1000
Check failed for (fp64): x = -5.18991106373034; diff = 2.22044604925031e-16; -826/1000
Check failed for (fp64): x = -5.18362787842316; diff = 2.22044604925031e-16; -825/1000
Check failed for (fp64): x = -5.17734469311598; diff = 2.22044604925031e-16; -824/1000
